rank	gene_id	symbol	mean_tpm	var_log2tpm
118	ENSG00000286522	H3C2	92.805	2.2708
119	ENSG00000261717	ENSG00000261717	2.878	2.2272
120	ENSG00000272573	MUSTN1	2.766	2.2112
121	ENSG00000103995	CEP152	28.22	2.2099
122	ENSG00000198561	CTNND1	8.589	2.2085
123	ENSG00000266964	FXYD1	4.822	2.2047
124	ENSG00000189409	MMP23B	5.314	2.1989
125	ENSG00000184154	LRRC51	10.05	2.1969
126	ENSG00000086506	HBQ1	18.371	2.1844
127	ENSG00000291313	ENSG00000291313	5.731	2.1744
128	ENSG00000289694	ENSG00000289694	2.591	2.1727
129	ENSG00000275832	ARHGAP23	4.541	2.1727
130	ENSG00000185442	FAM174B	4.789	2.165
131	ENSG00000268606	MAGEA2	16.189	2.1597
132	ENSG00000255529	POLR2M	26.299	2.155
133	ENSG00000155957	TMBIM4	20.142	2.1383
134	ENSG00000203877	RIPPLY2	5.167	2.138
135	ENSG00000198723	SAXO5	2.937	2.1257
136	ENSG00000127995	CASD1	5.369	2.1245
137	ENSG00000196866	H2AC7	25.445	2.1203
138	ENSG00000186480	INSIG1	53.27	2.1161
139	ENSG00000158373	H2BC5	181.425	2.1108
140	ENSG00000108854	SMURF2	6.952	2.1029
141	ENSG00000261459	ENSG00000261459	4.353	2.093
142	ENSG00000115363	EVA1A	5.835	2.0847
143	ENSG00000158806	NPM2	14.831	2.0818
144	ENSG00000124635	H2BC11	95.304	2.0728
145	ENSG00000162444	RBP7	9.074	2.0701
146	ENSG00000256500	ENSG00000256500	2.84	2.0616
147	ENSG00000284431	ENSG00000284431	3.511	2.0546
148	ENSG00000242252	BGLAP	2.549	2.0541
149	ENSG00000125730	C3	3.095	2.0469
150	ENSG00000130347	RTN4IP1	6.558	2.0364
151	ENSG00000160318	CLDND2	2.489	2.0346
152	ENSG00000129455	KLK8	17.082	2.0327
153	ENSG00000289747	ENSG00000289747	2.306	2.0324
154	ENSG00000260001	TGFBR3L	5.2	2.0315
155	ENSG00000106123	EPHB6	3.914	2.0297
156	ENSG00000158406	H4C8	9.31	2.0259
157	ENSG00000278463	H2AC4	58.775	2.0246
158	ENSG00000180596	H2BC4	204.507	2.0236
159	ENSG00000197837	H4C16	4.124	2.0229
160	ENSG00000270011	ZNF559-ZNF177	4.816	2.0023
161	ENSG00000102886	GDPD3	11.855	2.0001
162	ENSG00000167077	MEI1	2.451	1.9941
163	ENSG00000158636	EMSY	8.351	1.9891
164	ENSG00000274049	INO80B-WBP1	2.394	1.9877
165	ENSG00000257949	TEN1	16.004	1.9777
166	ENSG00000188372	ZP3	13.193	1.9746
167	ENSG00000129990	SYT5	6.715	1.9732
168	ENSG00000064489	BORCS8-MEF2B	2.363	1.9703
169	ENSG00000095370	SH2D3C	3.77	1.9689
170	ENSG00000119943	PYROXD2	3.093	1.9635
171	ENSG00000275221	H2AC15	4.956	1.9584
172	ENSG00000100031	GGT1	4.554	1.9583
173	ENSG00000214050	FBXO16	4.767	1.9545
174	ENSG00000176092	CRYBG2	4.986	1.9544
175	ENSG00000143156	NME7	6.954	1.9541
176	ENSG00000182957	SPATA13	8.78	1.9506
177	ENSG00000091592	NLRP1	2.882	1.9495
178	ENSG00000058056	USP13	50.802	1.9482
179	ENSG00000159842	ABR	58.877	1.9375
180	ENSG00000136051	WASHC4	13.118	1.9355
181	ENSG00000206172	HBA1	8.605	1.9336
182	ENSG00000182685	BRICD5	4.735	1.9332
183	ENSG00000272896	ENSG00000272896	3.227	1.9324
184	ENSG00000228486	C2orf92	4.404	1.9233
185	ENSG00000198826	ARHGAP11A	33.503	1.9229
186	ENSG00000138413	IDH1	15.473	1.9206
187	ENSG00000136883	KIF12	6.574	1.9196
188	ENSG00000225828	FAM229A	9.403	1.9189
189	ENSG00000288623	ENSG00000288623	3.613	1.9175
190	ENSG00000187240	DYNC2H1	6.619	1.9165
191	ENSG00000197808	ZNF461	3.359	1.916
192	ENSG00000110944	IL23A	3.904	1.9121
193	ENSG00000196233	LCOR	19.713	1.9078
194	ENSG00000243716	NPIPB5	11.629	1.903
195	ENSG00000119636	BBOF1	3.048	1.9023
196	ENSG00000177565	TBL1XR1	13.912	1.896
197	ENSG00000197779	ZNF81	7.498	1.8913
198	ENSG00000288645	ENSG00000288645	2.36	1.8813
199	ENSG00000205078	SYCE1L	9.051	1.874
200	ENSG00000129007	CALML4	11.316	1.8679
201	ENSG00000164631	ZNF12	5.986	1.8658
202	ENSG00000123427	EEF1AKMT3	7.323	1.8649
203	ENSG00000145632	PLK2	5.05	1.8536
204	ENSG00000267740	ENSG00000267740	3.11	1.8465
205	ENSG00000105750	ZNF85	6.785	1.8388
206	ENSG00000108590	MED31	4.296	1.8319
207	ENSG00000196935	SRGAP1	4.626	1.8307
208	ENSG00000122435	TRMT13	23.503	1.8277
209	ENSG00000137941	TTLL7	5.852	1.8135
210	ENSG00000129354	AP1M2	1.951	1.8113
211	ENSG00000101443	WFDC2	2.088	1.8077
212	ENSG00000273313	RBAKDN	1.934	1.8027
213	ENSG00000004766	VPS50	4.75	1.8009
214	ENSG00000196154	S100A4	7.029	1.7994
215	ENSG00000155099	PIP4P2	6.336	1.794
216	ENSG00000173213	TUBB8B	2.673	1.7898
217	ENSG00000196693	ZNF33B	13.926	1.7898
218	ENSG00000213648	SULT1A4	50.927	1.7896
219	ENSG00000254806	SYS1-DBNDD2	2.677	1.7886
220	ENSG00000129038	LOXL1	17.292	1.7816
221	ENSG00000173531	MST1	8.307	1.7768
222	ENSG00000124171	PARD6B	7.198	1.7766
223	ENSG00000254788	CKLF-CMTM1	2.96	1.7735
224	ENSG00000131152	ENSG00000131152	2.607	1.7698
225	ENSG00000139178	C1RL	2.965	1.7683
226	ENSG00000138303	ASCC1	19.764	1.7637
227	ENSG00000266086	ENSG00000266086	9.72	1.7592
228	ENSG00000184163	C1QTNF12	2.25	1.7535
229	ENSG00000286231	ENSG00000286231	10.792	1.7521
230	ENSG00000234857	HNRNPUL2-BSCL2	12.543	1.7511
231	ENSG00000167971	CASKIN1	6.965	1.7493
232	ENSG00000277775	H3C7	2.365	1.7448
233	ENSG00000205213	LGR4	5.579	1.7447
234	ENSG00000128218	VPREB3	2.601	1.7419
235	ENSG00000268465	ENSG00000268465	1.775	1.741
236	ENSG00000146592	CREB5	93.608	1.7403
237	ENSG00000157741	UBN2	6.889	1.7384
238	ENSG00000254706	ENSG00000254706	1.89	1.7346
239	ENSG00000132002	DNAJB1	57.569	1.7337
240	ENSG00000276966	H4C5	75.319	1.729
241	ENSG00000130720	FIBCD1	1.96	1.728
242	ENSG00000256537	SMIM10L1	32.023	1.725
243	ENSG00000137770	CTDSPL2	10.741	1.725
244	ENSG00000164142	FHIP1A	5.036	1.723
245	ENSG00000240053	LY6G5B	8.19	1.7206
246	ENSG00000105499	PLA2G4C	2.163	1.7145
247	ENSG00000261247	GOLGA8T	2.379	1.7132
248	ENSG00000259024	TVP23C-CDRT4	2.508	1.7126
249	ENSG00000154529	CNTNAP3B	3.501	1.7107
250	ENSG00000128590	DNAJB9	10.284	1.7089
251	ENSG00000124613	ZNF391	26.966	1.7049
252	ENSG00000050438	SLC4A8	2.69	1.6997
253	ENSG00000142046	TMEM91	6.189	1.6983
254	ENSG00000160551	TAOK1	14.842	1.6982
255	ENSG00000196511	TPK1	3.103	1.6913
256	ENSG00000251357	ENSG00000251357	2.003	1.6896
