gene_id	symbol	min_over_methods_mean_log2cpm	rank
ENSG00000130726	TRIM28	8.2873	148
ENSG00000108106	UBE2S	8.286	149
ENSG00000101182	PSMA7	8.2853	150
ENSG00000170144	HNRNPA3	8.2825	151
ENSG00000106263	EIF3B	8.2817	152
ENSG00000130985	UBA1	8.2745	153
ENSG00000178035	IMPDH2	8.272	154
ENSG00000127616	SMARCA4	8.2689	155
ENSG00000147955	SIGMAR1	8.256	156
ENSG00000010256	UQCRC1	8.2415	157
ENSG00000092841	MYL6	8.239	158
ENSG00000184216	IRAK1	8.2386	159
ENSG00000127184	COX7C	8.2381	160
ENSG00000100380	ST13	8.2314	161
ENSG00000117523	PRRC2C	8.2309	162
ENSG00000125977	EIF2S2	8.2303	163
ENSG00000149547	EI24	8.2294	164
ENSG00000163399	ATP1A1	8.2045	165
ENSG00000166794	PPIB	8.2017	166
ENSG00000179091	CYC1	8.2013	167
ENSG00000009307	CSDE1	8.1985	168
ENSG00000125944	HNRNPR	8.1902	169
ENSG00000101057	MYBL2	8.1882	170
ENSG00000112118	MCM3	8.1836	171
ENSG00000144381	HSPD1	8.1789	172
ENSG00000089685	BIRC5	8.1768	173
ENSG00000135316	SYNCRIP	8.1753	174
ENSG00000130811	EIF3G	8.1711	175
ENSG00000185624	P4HB	8.1669	176
ENSG00000169045	HNRNPH1	8.1623	177
ENSG00000133124	IRS4	8.1591	178
ENSG00000105281	SLC1A5	8.1473	179
ENSG00000165283	STOML2	8.145	180
ENSG00000230989	HSBP1	8.1365	181
ENSG00000135829	DHX9	8.1359	182
ENSG00000100836	PABPN1	8.126	183
ENSG00000099817	POLR2E	8.1165	184
ENSG00000169564	PCBP1	8.1068	185
ENSG00000196642	RABL6	8.1028	186
ENSG00000204463	BAG6	8.0967	187
ENSG00000173473	SMARCC1	8.0779	188
ENSG00000089693	MLF2	8.0695	189
ENSG00000110651	CD81	8.0564	190
ENSG00000167088	SNRPD1	8.0479	191
ENSG00000160208	RRP1B	8.0454	192
ENSG00000173726	TOMM20	8.043	193
ENSG00000172534	HCFC1	8.0345	194
ENSG00000132780	NASP	8.0325	195
ENSG00000026025	VIM	8.032	196
ENSG00000173674	EIF1AX	8.0253	197
ENSG00000263001	GTF2I	8.0221	198
ENSG00000130520	LSM4	8.0176	199
ENSG00000130204	TOMM40	8.0122	200
ENSG00000099341	PSMD8	8.0078	201
ENSG00000110958	PTGES3	8.0065	202
ENSG00000182944	EWSR1	8.0003	203
ENSG00000167986	DDB1	7.9961	204
ENSG00000185825	BCAP31	7.9932	205
ENSG00000161203	AP2M1	7.9791	206
ENSG00000009954	BAZ1B	7.9791	207
ENSG00000134684	YARS1	7.9778	208
ENSG00000100401	RANGAP1	7.9716	209
ENSG00000034510	TMSB10	7.9686	210
ENSG00000167468	GPX4	7.9621	211
ENSG00000100823	APEX1	7.9497	212
ENSG00000288701	PRRC2B	7.9473	213
ENSG00000184840	TMED9	7.9425	214
ENSG00000169223	LMAN2	7.9387	215
ENSG00000090273	NUDC	7.9326	216
ENSG00000215021	PHB2	7.9226	217
ENSG00000136240	KDELR2	7.9208	218
ENSG00000173457	PPP1R14B	7.9206	219
ENSG00000132341	RAN	7.9141	220
ENSG00000173660	UQCRH	7.9059	221
ENSG00000204388	HSPA1B	7.8974	222
ENSG00000100804	PSMB5	7.8966	223
ENSG00000100714	MTHFD1	7.8938	224
ENSG00000154277	UCHL1	7.8937	225
ENSG00000100813	ACIN1	7.8903	226
