rank	gene_id	symbol	mean_expr	var_log2expr
130	ENSG00000249590		14.318	4.7196
131	ENSG00000203852	H3C15	12.676	4.669
132	ENSG00000112742	TTK	31.18	4.6676
133	ENSG00000286053	ASDURF	10.784	4.6585
134	ENSG00000255154	HTD2	35.783	4.6245
135	ENSG00000134294	SLC38A2	83.141	4.6218
136	ENSG00000187837	H1-2	162.513	4.6131
137	ENSG00000254536		33.446	4.6047
138	ENSG00000104859	CLASRP	68.01	4.5934
139	ENSG00000180667	YOD1	31.389	4.5876
140	ENSG00000015568	RGPD5	16.588	4.5866
141	ENSG00000177058	SLC38A9	21.935	4.5845
142	ENSG00000167995	BEST1	11.2	4.579
143	ENSG00000011478	QPCTL	12.277	4.5645
144	ENSG00000271503	CCL5	9.007	4.5439
145	ENSG00000243056	EIF4EBP3	12.654	4.5313
146	ENSG00000086506	HBQ1	27.825	4.5247
147	ENSG00000123689	G0S2	18.638	4.5169
148	ENSG00000125817	CENPB	89.929	4.5078
149	ENSG00000187713	TMEM203	88.891	4.5034
150	ENSG00000102007	PLP2	11.05	4.5033
151	ENSG00000244115	DNAJC25-GNG10	19.568	4.4962
152	ENSG00000011052	NME1-NME2	15.643	4.4887
153	ENSG00000176248	ANAPC2	28.894	4.4884
154	ENSG00000058804	NDC1	76.737	4.4706
155	ENSG00000182389	CACNB4	21.502	4.458
156	ENSG00000250021	ARPIN-AP3S2	12.11	4.4529
157	ENSG00000131188	PRR7	25.712	4.4487
158	ENSG00000076924	XAB2	29.583	4.4385
159	ENSG00000143819	EPHX1	34.803	4.4339
160	ENSG00000186193	SAPCD2	101.64	4.4255
161	ENSG00000161677	JOSD2	44.154	4.4136
162	ENSG00000127914	AKAP9	106.86	4.4047
163	ENSG00000248643	RBM14-RBM4	18.609	4.3934
164	ENSG00000152661	GJA1	29.97	4.3837
165	ENSG00000226742	HSBP1L1	7.707	4.3824
166	ENSG00000235453	SMIM27	26.784	4.369
167	ENSG00000080345	RIF1	124.833	4.3654
168	ENSG00000263513	FAM72C	14.324	4.3615
169	ENSG00000167641	PPP1R14A	52.705	4.3458
170	ENSG00000114209	PDCD10	65.381	4.345
171	ENSG00000162733	DDR2	18.28	4.3444
172	ENSG00000184226	PCDH9	98.438	4.333
173	ENSG00000168802	CHTF8	30.625	4.3317
174	ENSG00000138336	TET1	49.497	4.3177
175	ENSG00000198064	NPIPB13	23.735	4.3042
176	ENSG00000206172	HBA1	7.839	4.303
177	ENSG00000273542	H4C12	11.813	4.3014
178	ENSG00000265590	CFAP298-TCP10L	50.137	4.2994
179	ENSG00000270136	MICOS10-NBL1	7.138	4.2952
180	ENSG00000169629	RGPD8	12.067	4.2811
181	ENSG00000125534	PPDPF	327.926	4.2778
182	ENSG00000290318		387.618	4.2729
183	ENSG00000288725		9.855	4.2554
184	ENSG00000087088	BAX	250.011	4.2533
185	ENSG00000131116	ZNF428	117.777	4.2442
186	ENSG00000188223		7.389	4.2415
187	ENSG00000278677	H2AC17	8.906	4.2399
188	ENSG00000137876	RSL24D1	145.187	4.2368
189	ENSG00000105329	TGFB1	25.236	4.2253
190	ENSG00000255639		19.59	4.2192
191	ENSG00000198625	MDM4	57.723	4.2147
192	ENSG00000284526		24.652	4.2009
193	ENSG00000125954	CHURC1-FNTB	24.761	4.1922
194	ENSG00000204220	PFDN6	215.742	4.1913
195	ENSG00000147548	NSD3	201.886	4.1765
196	ENSG00000163002	NUP35	24.064	4.1695
197	ENSG00000136732	GYPC	33.615	4.1645
198	ENSG00000178531	CTXN1	52.565	4.1614
199	ENSG00000268916	CSAG3	9.017	4.1542
200	ENSG00000180596	H2BC4	13.418	4.1474
201	ENSG00000123143	PKN1	105.786	4.1394
202	ENSG00000248919	ATP5MF-PTCD1	8.197	4.1076
203	ENSG00000121749	TBC1D15	31.541	4.1061
204	ENSG00000114115	RBP1	26.168	4.1048
205	ENSG00000258429	PDF	68.757	4.1013
206	ENSG00000286185		9.491	4.1012
207	ENSG00000248592	STIMATE-MUSTN1	15.076	4.099
208	ENSG00000183479	TREX2	17.773	4.0834
209	ENSG00000263715	LINC02210-CRHR1	7.947	4.071
210	ENSG00000135837	CEP350	79.873	4.059
211	ENSG00000154545	MAGED4	11.919	4.0572
212	ENSG00000272617		40.251	4.045
213	ENSG00000285641		6.746	4.0409
214	ENSG00000137040	RANBP6	15.657	4.0393
215	ENSG00000107798	LIPA	53.924	4.0291
216	ENSG00000090932	DLL3	30.958	4.0265
217	ENSG00000076944	STXBP2	39.749	4.0208
218	ENSG00000288681		7.015	4.0169
219	ENSG00000286075	SMIM10L3	8.563	4.0168
220	ENSG00000132017	DCAF15	36.311	4.0166
221	ENSG00000162825	NBPF20	27.197	4.016
222	ENSG00000187838	PLSCR3	16.699	4.0143
223	ENSG00000163273	NPPC	10.222	4.0086
224	ENSG00000106367	AP1S1	68.056	4.0085
225	ENSG00000120738	EGR1	17.374	4.003
226	ENSG00000170627	GTSF1	7.157	4.0027
227	ENSG00000259040	BLOC1S5-TXNDC5	9.863	3.995
228	ENSG00000129455	KLK8	8.637	3.9888
229	ENSG00000117122	MFAP2	21.647	3.9885
230	ENSG00000167733	HSD11B1L	23.456	3.9806
231	ENSG00000157224	CLDN12	16.159	3.9656
232	ENSG00000181544	FANCB	27.843	3.9522
233	ENSG00000136518	ACTL6A	78.234	3.9379
234	ENSG00000008952	SEC62	513.928	3.9361
235	ENSG00000031691	CENPQ	15.67	3.9307
236	ENSG00000271383	NBPF19	11.677	3.9264
237	ENSG00000221821	C6orf226	9.569	3.9264
238	ENSG00000187193	MT1X	52.744	3.9211
239	ENSG00000145734	BDP1	136.653	3.9129
240	ENSG00000185864	NPIPB4	8.503	3.9119
241	ENSG00000120696	KBTBD7	13.151	3.9038
242	ENSG00000185483	ROR1	14.775	3.9036
243	ENSG00000162878	PKDCC	24.454	3.8912
244	ENSG00000100097	LGALS1	19.037	3.8712
245	ENSG00000174607	UGT8	15.297	3.8639
246	ENSG00000171155	C1GALT1C1	28.838	3.8612
247	ENSG00000205704	SMIM45	9.494	3.8586
248	ENSG00000204389	HSPA1A	8.216	3.8487
249	ENSG00000023516	AKAP11	23.1	3.8477
250	ENSG00000248710	TRIM59-IFT80	6.87	3.8419
251	ENSG00000255526	NEDD8-MDP1	6.763	3.8389
252	ENSG00000102760	RGCC	10.447	3.8376
253	ENSG00000183978	COA3	267.22	3.8362
254	ENSG00000147231	RADX	65.555	3.8333
255	ENSG00000119689	DLST	81.597	3.8285
256	ENSG00000262633		6.077	3.8268
257	ENSG00000010361	FUZ	89.024	3.8197
258	ENSG00000164758	MED30	26.549	3.8182
259	ENSG00000166206	GABRB3	6.145	3.8158
260	ENSG00000283228		21.572	3.8147
261	ENSG00000183054	RGPD6	9.48	3.8062
262	ENSG00000228049	POLR2J2	8.466	3.8047
263	ENSG00000177352	CCDC71	36.199	3.8022
264	ENSG00000244754	N4BP2L2	95.855	3.7954
265	ENSG00000108819	PPP1R9B	39.24	3.7922
266	ENSG00000175054	ATR	22.223	3.7882
267	ENSG00000124279	FASTKD3	12.05	3.7843
268	ENSG00000168303	MPLKIP	105.086	3.7831
269	ENSG00000223496	EXOSC6	64.888	3.7828
270	ENSG00000183628	DGCR6	40.215	3.7787
271	ENSG00000182263	FIGN	15.72	3.7777
272	ENSG00000170345	FOS	10.812	3.7757
273	ENSG00000186472	PCLO	23.905	3.7722
