pc	var_ratio
PC1	0.29480342615984695
PC2	0.17012036146942044
PC3	0.10035941946231552
PC4	0.04402362929922608
PC5	0.024217318544629808
PC6	0.021839652471534465
PC7	0.01881754811113662
PC8	0.018540402224037064
PC9	0.01825052020934983
PC10	0.017662592966514838
