level	set	condition	well	in_benchmark	unit	SMN2_ex6>7	SMN2_ex7>8	SMN2_ex6>8	SMN1_ex6>7	SMN1_ex7>8	SMN1_ex6>8	ambiguous_ex6>7	ambiguous_ex7>8	ambiguous_ex6>8	skip_all_ex6>8	psi_SMN2	psi_SMN1	psi_pooled
well	bobseq_50nt	Hek control	Hek_control_1	yes	raw	1	0	0	14	0	0	0	5	0	0	1.0	1.0	1.0
well	bobseq_50nt	Hek control	Hek_control_2	no (defective TSO oligo: skewed UMI; excluded from benchmark and splicing, Bryan 2026-09-10)	raw	0	0	0	7	0	0	0	8	2	2	0.0	0.7778	0.8824
well	bobseq_50nt	Hek control	Hek_control_3	yes	raw	4	0	0	2	0	0	0	5	0	0	1.0	1.0	1.0
well	bobseq_50nt	Ris dose 25mM	Ris_dose_25mM-1	yes	raw	3	0	0	6	0	0	0	9	0	0	1.0	1.0	1.0
well	bobseq_50nt	Ris dose 25mM	Ris_dose_25mM-2	yes	raw	0	0	0	2	0	0	0	0	2	2	0.0	0.5	0.5
well	bobseq_50nt	Ris dose 25mM	Ris_dose_25mM-3	yes	raw	0	0	0	0	0	0	0	11	0	0			1.0
condition	bobseq_pe_native	CADM1 100nM	pooled (3 wells)		dedup	20	20	2	31	41	1	0	10	34	37	0.4127	0.5595	0.6917
condition	bobseq_pe_native	CADM1 1nM	pooled (3 wells)		dedup	10	10	1	39	46	0	1	9	31	32	0.3043	0.6364	0.7143
condition	bobseq_pe_native	CHX dose 1ug/mL	pooled (3 wells)		dedup	21	20	1	57	66	0	4	12	47	48	0.3425	0.625	0.7143
condition	bobseq_pe_native	CHX dose 50ug/mL	pooled (3 wells)		dedup	16	20	3	54	62	0	5	11	41	44	0.3623	0.6333	0.7267
condition	bobseq_pe_native	Hek control	pooled (3 wells)		dedup	9	13	1	34	46	0	2	10	18	19	0.4412	0.7324	0.8041
condition	bobseq_pe_native	Ris dose 25mM	pooled (3 wells)		dedup	20	14	1	20	26	0	0	4	5	6	0.7778	0.8462	0.9062
condition	bobseq_pe_native	Ris dose 500mM	pooled (3 wells)		dedup	2	0	0	2	1	0	0	0	1	1	0.6667	0.6667	0.8
well	bobseq_pe_native	CADM1 100nM	CADM1_100nM-1	yes	dedup	3	6	1	5	5	0	0	1	14	15	0.2857	0.3182	0.4828
well	bobseq_pe_native	CADM1 100nM	CADM1_100nM-2	yes	dedup	13	12	1	15	21	1	0	4	9	11	0.5926	0.6944	0.8036
well	bobseq_pe_native	CADM1 100nM	CADM1_100nM-3	yes	dedup	4	2	0	11	15	0	0	5	11	11	0.2667	0.5769	0.6857
well	bobseq_pe_native	CADM1 1nM	CADM1_1nM-1	yes	dedup	1	0	1	14	20	0	1	1	11	12	0.0769	0.6364	0.6667
well	bobseq_pe_native	CADM1 1nM	CADM1_1nM-2	yes	dedup	8	7	0	16	14	0	0	4	13	13	0.4091	0.6061	0.7174
well	bobseq_pe_native	CADM1 1nM	CADM1_1nM-3	yes	dedup	1	3	0	9	12	0	0	4	7	7	0.3636	0.6818	0.7667
