nt_from_polyA_site	genes_contributing	DRUG-seq_mean_over_genes_smoothed25	prime-seq_mean_over_genes_smoothed25	BOBseq_mean_over_genes_smoothed25	DRUG-seq_mean_over_genes_raw	prime-seq_mean_over_genes_raw	BOBseq_mean_over_genes_raw
374	2065	0.8569	2.5054	1.2861	0.8730	2.5360	1.3064
375	2065	0.8498	2.4993	1.2828	0.8558	2.5275	1.2925
376	2065	0.8430	2.4935	1.2794	0.8501	2.5242	1.2857
377	2065	0.8361	2.4873	1.2759	0.8308	2.5130	1.2828
378	2065	0.8292	2.4807	1.2720	0.8268	2.4968	1.2853
379	2065	0.8222	2.4738	1.2673	0.8181	2.4913	1.2766
380	2065	0.8158	2.4661	1.2625	0.8066	2.4776	1.2670
381	2065	0.8095	2.4585	1.2579	0.8002	2.4672	1.2637
382	2065	0.8028	2.4510	1.2531	0.7990	2.4539	1.2522
383	2065	0.7965	2.4429	1.2482	0.7867	2.4336	1.2488
384	2065	0.7903	2.4352	1.2435	0.7833	2.4227	1.2360
385	2065	0.7846	2.4278	1.2388	0.7658	2.4030	1.2309
386	2065	0.7791	2.4206	1.2337	0.7647	2.3970	1.2247
387	2065	0.7735	2.4125	1.2284	0.7612	2.3983	1.2218
388	2065	0.7686	2.4042	1.2236	0.7603	2.4000	1.2232
389	2065	0.7636	2.3953	1.2190	0.7507	2.3872	1.2148
390	2065	0.7593	2.3865	1.2145	0.7432	2.3719	1.2078
391	2065	0.7551	2.3784	1.2098	0.7389	2.3700	1.1996
392	2065	0.7513	2.3703	1.2055	0.7446	2.3645	1.1989
393	2065	0.7477	2.3618	1.2019	0.7428	2.3642	1.1984
394	2065	0.7442	2.3531	1.1985	0.7322	2.3505	1.1925
395	2065	0.7408	2.3443	1.1957	0.7330	2.3364	1.1827
396	2065	0.7378	2.3361	1.1931	0.7352	2.3398	1.1870
397	2065	0.7353	2.3277	1.1906	0.7378	2.3430	1.1856
398	2065	0.7334	2.3199	1.1881	0.7359	2.3451	1.1785
399	2065	0.7314	2.3125	1.1856	0.7341	2.3334	1.1731
400	2065	0.7293	2.3047	1.1831	0.7323	2.3207	1.1725
401	2065	0.7274	2.2965	1.1803	0.7271	2.3003	1.1698
402	2065	0.7255	2.2894	1.1779	0.7219	2.2944	1.1706
403	2065	0.7237	2.2828	1.1759	0.7215	2.2943	1.1678
404	2065	0.7223	2.2753	1.1736	0.7234	2.2888	1.1703
405	2065	0.7209	2.2670	1.1712	0.7173	2.2660	1.1753
406	2065	0.7193	2.2583	1.1689	0.7126	2.2486	1.1799
407	2065	0.7182	2.2501	1.1670	0.7135	2.2344	1.1831
408	2065	0.7172	2.2418	1.1654	0.7127	2.2287	1.1830
409	2065	0.7165	2.2329	1.1635	0.7193	2.2109	1.1741
410	2065	0.7162	2.2239	1.1617	0.7181	2.2091	1.1663
411	2065	0.7158	2.2143	1.1601	0.7151	2.2125	1.1632
412	2065	0.7156	2.2047	1.1589	0.7095	2.2031	1.1604
413	2065	0.7156	2.1952	1.1578	0.7112	2.1955	1.1521
414	2065	0.7158	2.1869	1.1569	0.7034	2.2094	1.1545
415	2065	0.7161	2.1792	1.1560	0.6992	2.2063	1.1574
416	2065	0.7165	2.1717	1.1552	0.7042	2.1817	1.1438
417	2065	0.7170	2.1641	1.1544	0.7085	2.1576	1.1369
418	2065	0.7176	2.1570	1.1532	0.7034	2.1479	1.1417
419	2065	0.7192	2.1511	1.1521	0.7038	2.1450	1.1450
420	2065	0.7205	2.1455	1.1509	0.7082	2.1285	1.1438
421	2065	0.7224	2.1403	1.1497	0.7187	2.1163	1.1385
422	2065	0.7241	2.1360	1.1489	0.7291	2.1189	1.1396
423	2065	0.7258	2.1315	1.1483	0.7275	2.1055	1.1399
424	2065	0.7275	2.1270	1.1481	0.7285	2.0920	1.1420
425	2065	0.7289	2.1225	1.1476	0.7313	2.0832	1.1460
426	2065	0.7306	2.1181	1.1471	0.7323	2.0950	1.1459
427	2065	0.7328	2.1130	1.1467	0.7310	2.1017	1.1480
428	2065	0.7356	2.1079	1.1462	0.7307	2.1063	1.1498
429	2065	0.7385	2.1034	1.1464	0.7356	2.0989	1.1493
430	2065	0.7407	2.1002	1.1469	0.7321	2.0872	1.1455
431	2065	0.7434	2.0970	1.1471	0.7526	2.1016	1.1514
432	2065	0.7463	2.0941	1.1472	0.7474	2.0951	1.1551
433	2065	0.7487	2.0919	1.1470	0.7602	2.0980	1.1525
434	2065	0.7506	2.0898	1.1465	0.7607	2.1033	1.1527
435	2065	0.7521	2.0869	1.1459	0.7617	2.0974	1.1534
436	2065	0.7537	2.0839	1.1451	0.7563	2.0995	1.1565
437	2065	0.7554	2.0810	1.1443	0.7460	2.0898	1.1481
438	2065	0.7571	2.0785	1.1432	0.7526	2.0868	1.1404
439	2065	0.7588	2.0761	1.1422	0.7582	2.0813	1.1454
440	2065	0.7604	2.0732	1.1408	0.7707	2.0786	1.1435
441	2065	0.7620	2.0697	1.1392	0.7745	2.0707	1.1495
442	2065	0.7632	2.0657	1.1375	0.7652	2.0753	1.1490
443	2065	0.7646	2.0621	1.1358	0.7702	2.0685	1.1474
444	2065	0.7655	2.0576	1.1334	0.7760	2.0721	1.1460
445	2065	0.7661	2.0529	1.1309	0.7684	2.0755	1.1391
446	2065	0.7661	2.0483	1.1282	0.7671	2.0639	1.1254
447	2065	0.7658	2.0432	1.1256	0.7646	2.0457	1.1246
448	2065	0.7654	2.0378	1.1231	0.7684	2.0292	1.1220
449	2065	0.7655	2.0327	1.1202	0.7707	2.0209	1.1204
450	2065	0.7662	2.0278	1.1178	0.7733	2.0215	1.1195
451	2065	0.7670	2.0225	1.1154	0.7756	2.0338	1.1197
452	2065	0.7678	2.0164	1.1125	0.7725	2.0287	1.1150
453	2065	0.7683	2.0101	1.1095	0.7685	2.0188	1.1096
454	2065	0.7686	2.0043	1.1065	0.7665	1.9992	1.1069
455	2065	0.7694	1.9978	1.1034	0.7667	1.9973	1.1010
456	2065	0.7702	1.9919	1.1000	0.7748	1.9885	1.0924
457	2065	0.7706	1.9859	1.0964	0.7628	1.9791	1.0927
458	2065	0.7711	1.9798	1.0931	0.7600	1.9824	1.0848
459	2065	0.7713	1.9742	1.0902	0.7545	1.9749	1.0872
460	2065	0.7715	1.9688	1.0874	0.7498	1.9636	1.0902
461	2065	0.7713	1.9638	1.0844	0.7594	1.9720	1.0864
462	2065	0.7709	1.9590	1.0812	0.7648	1.9677	1.0859
463	2065	0.7703	1.9544	1.0780	0.7725	1.9534	1.0814
464	2065	0.7693	1.9482	1.0747	0.7768	1.9295	1.0737
465	2065	0.7684	1.9413	1.0717	0.7830	1.9199	1.0674
466	2065	0.7677	1.9347	1.0686	0.7839	1.9256	1.0751
467	2065	0.7671	1.9285	1.0656	0.7842	1.9142	1.0717
468	2065	0.7662	1.9225	1.0629	0.7890	1.9204	1.0627
469	2065	0.7643	1.9155	1.0602	0.7861	1.9214	1.0553
470	2065	0.7629	1.9088	1.0572	0.7822	1.9236	1.0554
471	2065	0.7615	1.9018	1.0542	0.7721	1.9241	1.0549
472	2065	0.7603	1.8948	1.0511	0.7697	1.9111	1.0538
473	2065	0.7595	1.8882	1.0478	0.7621	1.9028	1.0464
474	2065	0.7585	1.8816	1.0447	0.7622	1.9015	1.0413
475	2065	0.7573	1.8748	1.0416	0.7574	1.9061	1.0380
476	2065	0.7553	1.8685	1.0387	0.7518	1.8798	1.0387
477	2065	0.7529	1.8626	1.0358	0.7489	1.8556	1.0394
478	2065	0.7499	1.8568	1.0333	0.7514	1.8528	1.0318
479	2065	0.7468	1.8505	1.0302	0.7504	1.8460	1.0328
480	2065	0.7438	1.8443	1.0273	0.7442	1.8454	1.0327
481	2065	0.7405	1.8381	1.0245	0.7275	1.8148	1.0244
482	2065	0.7372	1.8318	1.0222	0.7284	1.8105	1.0198
483	2065	0.7341	1.8254	1.0200	0.7257	1.8073	1.0085
484	2065	0.7314	1.8187	1.0179	0.7244	1.8007	1.0107
485	2065	0.7290	1.8129	1.0156	0.7289	1.7993	1.0068
486	2065	0.7274	1.8078	1.0137	0.7356	1.8055	1.0088
487	2065	0.7256	1.8028	1.0120	0.7338	1.7995	1.0093
488	2065	0.7239	1.7975	1.0107	0.7222	1.7959	1.0075
489	2065	0.7223	1.7925	1.0094	0.7169	1.7808	1.0029
490	2065	0.7206	1.7880	1.0079	0.7077	1.7762	1.0031
491	2065	0.7192	1.7836	1.0070	0.7063	1.7682	0.9992
492	2065	0.7179	1.7798	1.0062	0.7105	1.7584	0.9973
493	2065	0.7167	1.7758	1.0055	0.7060	1.7641	0.9948
494	2065	0.7156	1.7730	1.0053	0.7039	1.7640	0.9964
495	2065	0.7145	1.7702	1.0049	0.7052	1.7636	0.9996
496	2065	0.7133	1.7670	1.0051	0.7044	1.7564	1.0033
497	2065	0.7121	1.7638	1.0050	0.7088	1.7680	0.9972
498	2065	0.7106	1.7604	1.0052	0.7221	1.7757	0.9973
499	2065	0.7088	1.7561	1.0053	0.7189	1.7745	1.0001
500	2065	0.7069	1.7520	1.0054	0.7145	1.7732	1.0058
501	2065	0.7051	1.7482	1.0056	0.7099	1.7553	1.0047
502	2065	0.7036	1.7442	1.0060	0.7082	1.7437	1.0023
503	2065	0.7024	1.7401	1.0064	0.7152	1.7419	1.0085
504	2065	0.7012	1.7359	1.0065	0.7174	1.7511	1.0152
505	2065	0.6996	1.7320	1.0069	0.7161	1.7451	1.0133
506	2065	0.6981	1.7272	1.0075	0.6985	1.7461	1.0191
507	2065	0.6971	1.7220	1.0081	0.7007	1.7401	1.0116
508	2065	0.6962	1.7162	1.0085	0.6968	1.7288	1.0133
509	2065	0.6953	1.7106	1.0088	0.6935	1.7185	1.0068
510	2065	0.6938	1.7043	1.0094	0.6928	1.7149	1.0120
511	2065	0.6917	1.6974	1.0101	0.6910	1.6985	1.0123
512	2065	0.6899	1.6902	1.0106	0.6846	1.6963	1.0115
513	2065	0.6885	1.6827	1.0106	0.6778	1.7022	1.0123
514	2065	0.6875	1.6757	1.0106	0.6780	1.6811	1.0128
515	2065	0.6864	1.6697	1.0108	0.6793	1.6727	1.0128
516	2065	0.6850	1.6635	1.0111	0.6747	1.6637	1.0033
517	2065	0.6832	1.6567	1.0112	0.6727	1.6596	1.0049
518	2065	0.6817	1.6504	1.0116	0.6678	1.6455	1.0106
519	2065	0.6806	1.6441	1.0118	0.6773	1.6344	1.0113
520	2065	0.6795	1.6377	1.0124	0.6828	1.6172	1.0095
521	2065	0.6780	1.6318	1.0130	0.6829	1.6158	1.0115
522	2065	0.6767	1.6262	1.0138	0.6707	1.6111	1.0123
523	2065	0.6753	1.6203	1.0145	0.6710	1.6027	1.0148
524	2065	0.6742	1.6146	1.0149	0.6727	1.5957	1.0121
525	2065	0.6731	1.6085	1.0153	0.6812	1.5866	1.0070
526	2065	0.6723	1.6021	1.0157	0.6838	1.5792	1.0040
527	2065	0.6719	1.5964	1.0161	0.6821	1.5938	1.0070
528	2065	0.6715	1.5908	1.0163	0.6780	1.5874	1.0167
529	2065	0.6714	1.5856	1.0167	0.6745	1.5815	1.0179
530	2065	0.6711	1.5803	1.0171	0.6777	1.5858	1.0225
531	2065	0.6713	1.5747	1.0173	0.6698	1.5904	1.0227
532	2065	0.6711	1.5690	1.0175	0.6729	1.5792	1.0286
533	2065	0.6708	1.5635	1.0175	0.6612	1.5803	1.0284
534	2065	0.6705	1.5580	1.0173	0.6607	1.5787	1.0266
535	2065	0.6706	1.5521	1.0175	0.6575	1.5686	1.0288
536	2065	0.6699	1.5457	1.0176	0.6623	1.5544	1.0224
537	2065	0.6690	1.5394	1.0180	0.6584	1.5441	1.0215
538	2065	0.6677	1.5339	1.0187	0.6587	1.5429	1.0232
539	2065	0.6665	1.5285	1.0196	0.6662	1.5389	1.0207
540	2065	0.6654	1.5229	1.0204	0.6709	1.5320	1.0184
541	2065	0.6639	1.5171	1.0208	0.6707	1.5339	1.0147
542	2065	0.6627	1.5115	1.0210	0.6657	1.5279	1.0134
543	2065	0.6613	1.5054	1.0210	0.6729	1.5056	1.0176
544	2065	0.6600	1.4990	1.0208	0.6727	1.4922	1.0142
545	2065	0.6584	1.4930	1.0207	0.6756	1.4788	1.0109
546	2065	0.6574	1.4871	1.0211	0.6754	1.4789	1.0072
547	2065	0.6563	1.4811	1.0214	0.6720	1.4635	1.0156
548	2065	0.6552	1.4750	1.0217	0.6533	1.4431	1.0170
549	2065	0.6541	1.4694	1.0224	0.6497	1.4373	1.0230
550	2065	0.6533	1.4639	1.0228	0.6487	1.4484	1.0235
551	2065	0.6522	1.4581	1.0233	0.6553	1.4454	1.0274
552	2065	0.6509	1.4526	1.0239	0.6546	1.4528	1.0276
553	2065	0.6490	1.4473	1.0243	0.6399	1.4423	1.0269
554	2065	0.6470	1.4418	1.0248	0.6444	1.4415	1.0219
555	2065	0.6455	1.4363	1.0252	0.6420	1.4329	1.0236
556	2065	0.6433	1.4315	1.0254	0.6378	1.4325	1.0172
557	2065	0.6409	1.4269	1.0254	0.6343	1.4292	1.0260
558	2065	0.6386	1.4228	1.0254	0.6339	1.4328	1.0373
559	2065	0.6364	1.4182	1.0254	0.6333	1.4278	1.0358
560	2065	0.6346	1.4142	1.0252	0.6315	1.4162	1.0353
561	2065	0.6333	1.4108	1.0248	0.6347	1.4145	1.0399
562	2065	0.6319	1.4073	1.0242	0.6373	1.4064	1.0314
563	2065	0.6306	1.4030	1.0236	0.6318	1.3969	1.0363
564	2065	0.6291	1.3990	1.0228	0.6332	1.4016	1.0351
565	2065	0.6277	1.3941	1.0221	0.6235	1.4009	1.0289
566	2065	0.6271	1.3894	1.0211	0.6219	1.3967	1.0273
567	2065	0.6265	1.3848	1.0203	0.6265	1.3899	1.0241
568	2065	0.6262	1.3800	1.0193	0.6195	1.3864	1.0207
569	2065	0.6263	1.3751	1.0187	0.6124	1.3770	1.0162
570	2065	0.6265	1.3704	1.0177	0.6179	1.3752	1.0106
571	2065	0.6267	1.3653	1.0165	0.6197	1.3652	1.0065
572	2065	0.6269	1.3607	1.0153	0.6278	1.3625	1.0093
573	2065	0.6272	1.3567	1.0141	0.6202	1.3580	1.0082
574	2065	0.6270	1.3528	1.0127	0.6158	1.3485	1.0085
575	2065	0.6265	1.3494	1.0117	0.6168	1.3408	1.0077
576	2065	0.6260	1.3462	1.0104	0.6172	1.3471	1.0068
577	2065	0.6253	1.3428	1.0091	0.6192	1.3305	1.0109
578	2065	0.6248	1.3393	1.0081	0.6252	1.3245	1.0029
579	2065	0.6241	1.3355	1.0074	0.6288	1.3256	1.0021
580	2065	0.6232	1.3321	1.0068	0.6347	1.3132	0.9968
581	2065	0.6224	1.3289	1.0061	0.6392	1.3094	1.0031
582	2065	0.6223	1.3261	1.0058	0.6400	1.3115	0.9997
583	2065	0.6220	1.3232	1.0058	0.6390	1.3070	1.0083
584	2065	0.6215	1.3208	1.0058	0.6379	1.3128	1.0063
585	2065	0.6207	1.3185	1.0052	0.6407	1.3158	1.0041
586	2065	0.6206	1.3163	1.0045	0.6289	1.3163	1.0061
587	2065	0.6209	1.3144	1.0037	0.6257	1.3228	1.0058
588	2065	0.6211	1.3118	1.0027	0.6190	1.3149	1.0037
589	2065	0.6211	1.3090	1.0016	0.6142	1.3171	1.0025
590	2065	0.6210	1.3066	1.0007	0.6113	1.3133	1.0041
591	2065	0.6211	1.3041	1.0000	0.6047	1.3033	1.0090
592	2065	0.6207	1.3014	0.9994	0.6030	1.3036	1.0101
593	2065	0.6202	1.2990	0.9989	0.6006	1.3055	1.0036
594	2065	0.6194	1.2966	0.9983	0.6100	1.3070	1.0085
595	2065	0.6186	1.2940	0.9979	0.6094	1.3041	1.0103
596	2065	0.6178	1.2912	0.9965	0.6091	1.3049	1.0059
597	2065	0.6168	1.2884	0.9952	0.6057	1.3053	0.9960
598	2065	0.6156	1.2853	0.9938	0.6200	1.3040	0.9900
599	2065	0.6146	1.2824	0.9921	0.6216	1.3008	0.9876
600	2065	0.6136	1.2792	0.9905	0.6224	1.2742	0.9821
601	2065	0.6129	1.2764	0.9889	0.6166	1.2778	0.9810
602	2065	0.6122	1.2734	0.9875	0.6177	1.2695	0.9872
603	2065	0.6116	1.2705	0.9861	0.6260	1.2640	0.9871
604	2065	0.6111	1.2679	0.9848	0.6205	1.2557	0.9862
605	2065	0.6105	1.2655	0.9839	0.6206	1.2549	0.9839
606	2065	0.6098	1.2629	0.9833	0.6200	1.2492	0.9875
607	2065	0.6085	1.2602	0.9823	0.6190	1.2455	0.9900
608	2065	0.6070	1.2574	0.9815	0.6193	1.2389	0.9744
609	2065	0.6054	1.2542	0.9809	0.6148	1.2410	0.9742
610	2065	0.6036	1.2508	0.9804	0.6107	1.2400	0.9679
611	2065	0.6013	1.2473	0.9798	0.6039	1.2421	0.9635
612	2065	0.5989	1.2438	0.9796	0.6006	1.2440	0.9654
613	2065	0.5960	1.2414	0.9796	0.6018	1.2443	0.9646
614	2065	0.5936	1.2385	0.9795	0.5960	1.2428	0.9662
615	2065	0.5909	1.2360	0.9791	0.5966	1.2390	0.9697
616	2065	0.5878	1.2336	0.9787	0.5926	1.2404	0.9767
617	2065	0.5846	1.2311	0.9787	0.5858	1.2422	0.9889
618	2065	0.5813	1.2284	0.9787	0.5831	1.2416	0.9870
619	2065	0.5779	1.2262	0.9783	0.5786	1.2387	0.9852
620	2065	0.5744	1.2238	0.9778	0.5732	1.2336	0.9902
621	2065	0.5708	1.2216	0.9776	0.5674	1.2254	0.9902
622	2065	0.5671	1.2187	0.9776	0.5611	1.2191	0.9821
623	2065	0.5632	1.2156	0.9778	0.5628	1.2164	0.9770
624	2065	0.5595	1.2120	0.9778	0.5604	1.2153	0.9813
625	2065	0.5560	1.2082	0.9774	0.5519	1.2141	0.9828
626	2065	0.5529	1.2041	0.9771	0.5565	1.2049	0.9788
627	2065	0.5498	1.1999	0.9768	0.5503	1.2070	0.9764
628	2065	0.5464	1.1959	0.9763	0.5472	1.2034	0.9781
629	2065	0.5429	1.1916	0.9754	0.5400	1.1931	0.9845
630	2065	0.5396	1.1875	0.9741	0.5389	1.1885	0.9846
631	2065	0.5364	1.1834	0.9730	0.5349	1.1925	0.9786
632	2065	0.5330	1.1791	0.9720	0.5313	1.1877	0.9763
633	2065	0.5297	1.1747	0.9708	0.5302	1.1815	0.9703
634	2065	0.5265	1.1703	0.9696	0.5207	1.1705	0.9744
635	2065	0.5235	1.1661	0.9690	0.5134	1.1612	0.9716
636	2065	0.5198	1.1620	0.9684	0.5124	1.1537	0.9646
637	2065	0.5162	1.1577	0.9678	0.5127	1.1475	0.9556
638	2065	0.5128	1.1536	0.9672	0.5252	1.1423	0.9551
639	2065	0.5092	1.1496	0.9668	0.5188	1.1371	0.9589
640	2065	0.5056	1.1454	0.9663	0.5094	1.1389	0.9587
641	2065	0.5019	1.1413	0.9657	0.5056	1.1343	0.9530
642	2065	0.4985	1.1373	0.9647	0.5047	1.1380	0.9565
643	2065	0.4953	1.1332	0.9638	0.5013	1.1406	0.9609
644	2065	0.4923	1.1284	0.9629	0.4937	1.1314	0.9598
645	2065	0.4895	1.1239	0.9619	0.4909	1.1236	0.9597
646	2065	0.4867	1.1194	0.9611	0.4883	1.1155	0.9611
647	2065	0.4842	1.1152	0.9600	0.4852	1.1124	0.9653
648	2065	0.4819	1.1113	0.9592	0.4720	1.1153	0.9626
649	2065	0.4795	1.1071	0.9589	0.4695	1.1079	0.9665
650	2065	0.4771	1.1042	0.9591	0.4676	1.1121	0.9691
651	2065	0.4744	1.1012	0.9591	0.4665	1.1043	0.9678
652	2065	0.4718	1.0981	0.9595	0.4604	1.1023	0.9629
653	2065	0.4698	1.0950	0.9598	0.4546	1.1004	0.9632
654	2065	0.4678	1.0923	0.9601	0.4534	1.0929	0.9608
655	2065	0.4661	1.0892	0.9599	0.4586	1.0850	0.9605
656	2065	0.4645	1.0859	0.9592	0.4619	1.0744	0.9572
657	2065	0.4632	1.0829	0.9584	0.4604	1.0748	0.9507
658	2065	0.4617	1.0802	0.9575	0.4610	1.0691	0.9515
659	2065	0.4604	1.0781	0.9565	0.4571	1.0650	0.9451
660	2065	0.4594	1.0762	0.9553	0.4559	1.0629	0.9529
661	2065	0.4588	1.0739	0.9543	0.4515	1.0495	0.9568
662	2065	0.4589	1.0720	0.9531	0.4545	1.0738	0.9600
663	2065	0.4589	1.0698	0.9519	0.4561	1.0679	0.9563
664	2065	0.4585	1.0675	0.9509	0.4557	1.0606	0.9678
665	2065	0.4585	1.0650	0.9499	0.4584	1.0610	0.9682
666	2065	0.4585	1.0623	0.9489	0.4555	1.0662	0.9591
667	2065	0.4586	1.0597	0.9479	0.4621	1.0619	0.9506
668	2065	0.4584	1.0572	0.9470	0.4613	1.0578	0.9435
669	2065	0.4580	1.0548	0.9463	0.4607	1.0552	0.9400
670	2065	0.4576	1.0523	0.9459	0.4534	1.0558	0.9392
671	2065	0.4571	1.0499	0.9454	0.4575	1.0646	0.9352
672	2065	0.4569	1.0476	0.9450	0.4583	1.0652	0.9342
673	2065	0.4569	1.0454	0.9444	0.4588	1.0578	0.9378
674	2065	0.4571	1.0437	0.9438	0.4704	1.0589	0.9380
675	2065	0.4572	1.0408	0.9429	0.4678	1.0572	0.9389
676	2065	0.4570	1.0383	0.9423	0.4573	1.0481	0.9416
677	2065	0.4568	1.0359	0.9416	0.4602	1.0392	0.9376
678	2065	0.4565	1.0333	0.9408	0.4550	1.0336	0.9383
679	2065	0.4564	1.0303	0.9402	0.4563	1.0262	0.9358
680	2065	0.4561	1.0269	0.9397	0.4521	1.0238	0.9396
681	2065	0.4561	1.0232	0.9393	0.4535	1.0129	0.9394
682	2065	0.4559	1.0196	0.9388	0.4500	1.0129	0.9397
683	2065	0.4559	1.0161	0.9382	0.4476	1.0091	0.9392
684	2065	0.4558	1.0123	0.9374	0.4516	1.0083	0.9347
685	2065	0.4557	1.0082	0.9365	0.4561	1.0080	0.9379
686	2065	0.4556	1.0043	0.9356	0.4561	1.0060	0.9418
687	2065	0.4551	1.0004	0.9345	0.4582	1.0014	0.9385
688	2065	0.4547	0.9962	0.9332	0.4505	1.0046	0.9421
689	2065	0.4548	0.9921	0.9318	0.4510	1.0012	0.9497
690	2065	0.4549	0.9884	0.9307	0.4501	0.9960	0.9472
691	2065	0.4552	0.9850	0.9296	0.4547	0.9921	0.9449
692	2065	0.4555	0.9820	0.9285	0.4543	0.9761	0.9382
693	2065	0.4560	0.9791	0.9273	0.4601	0.9657	0.9321
694	2065	0.4566	0.9768	0.9260	0.4575	0.9647	0.9295
695	2065	0.4573	0.9746	0.9248	0.4538	0.9683	0.9231
696	2065	0.4584	0.9726	0.9235	0.4546	0.9699	0.9159
697	2065	0.4593	0.9706	0.9228	0.4553	0.9628	0.9120
698	2065	0.4602	0.9684	0.9215	0.4561	0.9613	0.9130
699	2065	0.4613	0.9663	0.9200	0.4574	0.9616	0.9116
700	2065	0.4622	0.9629	0.9186	0.4585	0.9513	0.9074
701	2065	0.4634	0.9598	0.9170	0.4602	0.9468	0.9067
702	2065	0.4647	0.9568	0.9146	0.4621	0.9443	0.9085
703	2065	0.4660	0.9538	0.9126	0.4621	0.9505	0.9112
704	2065	0.4672	0.9506	0.9109	0.4642	0.9494	0.9084
705	2065	0.4685	0.9479	0.9093	0.4654	0.9516	0.9092
706	2065	0.4697	0.9455	0.9079	0.4669	0.9568	0.9078
707	2065	0.4711	0.9433	0.9068	0.4684	0.9572	0.9093
708	2065	0.4729	0.9408	0.9059	0.4737	0.9596	0.9073
709	2065	0.4747	0.9380	0.9054	0.4747	0.9582	0.9157
710	2065	0.4764	0.9353	0.9046	0.4800	0.9523	0.9072
711	2065	0.4782	0.9328	0.9038	0.4819	0.9535	0.9046
712	2065	0.4799	0.9302	0.9030	0.4812	0.9174	0.9023
713	2065	0.4817	0.9283	0.9026	0.4810	0.9254	0.9010
714	2065	0.4835	0.9265	0.9020	0.4831	0.9279	0.8914
715	2065	0.4854	0.9248	0.9012	0.4828	0.9211	0.8961
716	2065	0.4873	0.9228	0.9002	0.4850	0.9107	0.9033
717	2065	0.4891	0.9210	0.8988	0.4862	0.9097	0.8974
718	2065	0.4908	0.9198	0.8972	0.4903	0.9059	0.8974
719	2065	0.4924	0.9183	0.8957	0.4933	0.9102	0.9018
720	2065	0.4941	0.9166	0.8941	0.4991	0.9058	0.9011
721	2065	0.4957	0.9147	0.8931	0.4984	0.8979	0.9027
722	2065	0.4972	0.9128	0.8916	0.4978	0.8956	0.8926
723	2065	0.4986	0.9111	0.8904	0.5011	0.8985	0.8933
724	2065	0.5000	0.9094	0.8892	0.4989	0.8970	0.8918
725	2065	0.5013	0.9089	0.8881	0.5041	0.9032	0.8959
726	2065	0.5025	0.9078	0.8871	0.5060	0.9027	0.8934
727	2065	0.5039	0.9064	0.8861	0.5083	0.9016	0.8869
728	2065	0.5053	0.9053	0.8852	0.5100	0.9019	0.8861
729	2065	0.5065	0.9047	0.8842	0.5101	0.9041	0.8736
730	2065	0.5077	0.9043	0.8836	0.5065	0.9210	0.8697
731	2065	0.5084	0.9040	0.8829	0.5070	0.9195	0.8704
732	2065	0.5092	0.9034	0.8819	0.5130	0.9133	0.8708
733	2065	0.5100	0.9027	0.8811	0.5118	0.9144	0.8807
734	2065	0.5110	0.9023	0.8803	0.5120	0.9088	0.8780
735	2065	0.5120	0.9022	0.8797	0.5165	0.9103	0.8788
736	2065	0.5129	0.9018	0.8790	0.5164	0.9108	0.8734
737	2065	0.5139	0.9014	0.8784	0.5139	0.9059	0.8757
738	2065	0.5146	0.9008	0.8774	0.5115	0.8963	0.8750
739	2065	0.5153	0.8999	0.8767	0.5163	0.8935	0.8668
740	2065	0.5159	0.8989	0.8762	0.5189	0.8948	0.8742
741	2065	0.5163	0.8976	0.8757	0.5140	0.8958	0.8784
742	2065	0.5169	0.8962	0.8756	0.5177	0.8983	0.8828
743	2065	0.5175	0.8939	0.8756	0.5085	0.8978	0.8780
744	2065	0.5182	0.8914	0.8754	0.5119	0.8956	0.8778
745	2065	0.5188	0.8891	0.8748	0.5198	0.8900	0.8816
746	2065	0.5191	0.8864	0.8737	0.5220	0.8870	0.8815
747	2065	0.5196	0.8836	0.8725	0.5229	0.8919	0.8780
748	2065	0.5198	0.8812	0.8713	0.5251	0.8904	0.8746
749	2065	0.5201	0.8786	0.8700	0.5239	0.8868	0.8770
750	2065	0.5204	0.8763	0.8687	0.5215	0.8872	0.8729
751	2065	0.5208	0.8740	0.8673	0.5234	0.8798	0.8746
752	2065	0.5210	0.8715	0.8664	0.5227	0.8775	0.8749
753	2065	0.5207	0.8687	0.8649	0.5214	0.8697	0.8722
754	2065	0.5207	0.8657	0.8631	0.5231	0.8684	0.8713
755	2065	0.5206	0.8627	0.8611	0.5234	0.8636	0.8695
756	2065	0.5210	0.8595	0.8597	0.5244	0.8562	0.8668
757	2065	0.5215	0.8564	0.8580	0.5261	0.8554	0.8554
758	2065	0.5215	0.8535	0.8563	0.5207	0.8473	0.8528
759	2065	0.5215	0.8506	0.8545	0.5247	0.8397	0.8491
760	2065	0.5214	0.8473	0.8530	0.5214	0.8498	0.8472
761	2065	0.5212	0.8439	0.8516	0.5223	0.8457	0.8422
762	2065	0.5208	0.8406	0.8502	0.5211	0.8495	0.8434
763	2065	0.5206	0.8368	0.8489	0.5221	0.8385	0.8402
764	2065	0.5203	0.8333	0.8477	0.5213	0.8303	0.8435
765	2065	0.5200	0.8301	0.8464	0.5108	0.8257	0.8371
766	2065	0.5200	0.8273	0.8453	0.5142	0.8212	0.8320
767	2065	0.5201	0.8244	0.8445	0.5153	0.8225	0.8349
768	2065	0.5200	0.8211	0.8437	0.5197	0.8187	0.8411
769	2065	0.5199	0.8179	0.8428	0.5241	0.8172	0.8372
