nt_from_polyA_site	genes_contributing	DRUG-seq_mean_over_genes_smoothed25	prime-seq_mean_over_genes_smoothed25	BOBseq_mean_over_genes_smoothed25	DRUG-seq_mean_over_genes_raw	prime-seq_mean_over_genes_raw	BOBseq_mean_over_genes_raw
87	2065	8.4485	1.1923	0.7733	8.5686	1.1738	0.7679
88	2065	8.4306	1.2047	0.7759	8.5505	1.1874	0.7688
89	2065	8.4093	1.2180	0.7788	8.5120	1.2024	0.7696
90	2065	8.3840	1.2314	0.7818	8.4715	1.2104	0.7746
91	2065	8.3571	1.2461	0.7848	8.3962	1.2205	0.7804
92	2065	8.3276	1.2610	0.7881	8.3727	1.2381	0.7870
93	2065	8.2960	1.2762	0.7915	8.3408	1.2474	0.7910
94	2065	8.2633	1.2922	0.7952	8.3267	1.2673	0.7967
95	2065	8.2274	1.3089	0.7987	8.2592	1.2854	0.7998
96	2065	8.1900	1.3263	0.8022	8.2252	1.3096	0.7981
97	2065	8.1512	1.3447	0.8060	8.1519	1.3239	0.8036
98	2065	8.1109	1.3633	0.8097	8.1117	1.3454	0.8074
99	2065	8.0681	1.3823	0.8136	8.0941	1.3705	0.8057
100	2065	8.0224	1.4017	0.8177	8.0588	1.3936	0.8132
101	2065	7.9744	1.4218	0.8220	8.0074	1.4191	0.8243
102	2065	7.9261	1.4421	0.8266	7.9291	1.4330	0.8270
103	2065	7.8759	1.4630	0.8311	7.8791	1.4664	0.8272
104	2065	7.8262	1.4854	0.8355	7.8213	1.4762	0.8353
105	2065	7.7769	1.5080	0.8400	7.7907	1.4907	0.8438
106	2065	7.7272	1.5317	0.8444	7.7492	1.5194	0.8462
107	2065	7.6755	1.5564	0.8487	7.6982	1.5468	0.8464
108	2065	7.6240	1.5819	0.8527	7.6729	1.5717	0.8491
109	2065	7.5713	1.6076	0.8568	7.6295	1.5994	0.8578
110	2065	7.5190	1.6342	0.8609	7.5811	1.6178	0.8554
111	2065	7.4664	1.6607	0.8652	7.5029	1.6425	0.8637
112	2065	7.4114	1.6872	0.8696	7.4270	1.6587	0.8713
113	2065	7.3556	1.7138	0.8741	7.3494	1.6886	0.8760
114	2065	7.2991	1.7404	0.8786	7.3048	1.7090	0.8842
115	2065	7.2435	1.7673	0.8832	7.2174	1.7340	0.8865
116	2065	7.1882	1.7941	0.8879	7.1531	1.7805	0.8916
117	2065	7.1330	1.8214	0.8928	7.1405	1.8040	0.8989
118	2065	7.0763	1.8487	0.8974	7.0995	1.8391	0.9000
119	2065	7.0201	1.8764	0.9025	7.0333	1.8842	0.9047
120	2065	6.9630	1.9038	0.9079	6.9706	1.9222	0.9000
121	2065	6.9051	1.9311	0.9136	6.9093	1.9542	0.9017
122	2065	6.8475	1.9584	0.9196	6.8451	1.9878	0.9054
123	2065	6.7904	1.9853	0.9263	6.7956	2.0077	0.9138
124	2065	6.7345	2.0118	0.9331	6.7194	2.0331	0.9171
125	2065	6.6799	2.0386	0.9402	6.6632	2.0579	0.9242
126	2065	6.6251	2.0647	0.9472	6.5951	2.0860	0.9372
127	2065	6.5713	2.0912	0.9542	6.5398	2.1055	0.9415
128	2065	6.5185	2.1178	0.9615	6.4951	2.1349	0.9447
129	2065	6.4662	2.1428	0.9689	6.4426	2.1581	0.9586
130	2065	6.4119	2.1675	0.9761	6.3731	2.1754	0.9590
131	2065	6.3569	2.1915	0.9833	6.3426	2.2120	0.9732
132	2065	6.3029	2.2145	0.9908	6.2721	2.2318	0.9832
133	2065	6.2504	2.2371	0.9987	6.2257	2.2520	0.9898
134	2065	6.1981	2.2591	1.0070	6.1901	2.2823	1.0096
135	2065	6.1469	2.2807	1.0154	6.1513	2.2912	1.0215
136	2065	6.0956	2.3025	1.0238	6.1071	2.3043	1.0349
137	2065	6.0447	2.3236	1.0325	6.0612	2.3289	1.0487
138	2065	5.9942	2.3441	1.0409	5.9801	2.3412	1.0513
139	2065	5.9438	2.3638	1.0490	5.9606	2.3726	1.0583
140	2065	5.8945	2.3832	1.0572	5.8963	2.3990	1.0681
141	2065	5.8443	2.4016	1.0660	5.8446	2.4045	1.0773
142	2065	5.7942	2.4198	1.0745	5.7844	2.4203	1.0781
143	2065	5.7455	2.4378	1.0832	5.7240	2.4413	1.0816
144	2065	5.6962	2.4547	1.0916	5.6822	2.4584	1.0915
145	2065	5.6478	2.4707	1.1000	5.6583	2.4872	1.0987
146	2065	5.5979	2.4866	1.1085	5.6029	2.5028	1.1076
147	2065	5.5468	2.5017	1.1164	5.5651	2.5295	1.1163
148	2065	5.4963	2.5171	1.1241	5.5129	2.5532	1.1245
149	2065	5.4462	2.5325	1.1317	5.4481	2.5600	1.1332
150	2065	5.3959	2.5480	1.1390	5.3992	2.5697	1.1355
151	2065	5.3474	2.5627	1.1466	5.3351	2.5776	1.1386
152	2065	5.2970	2.5764	1.1542	5.3066	2.5929	1.1472
153	2065	5.2479	2.5893	1.1618	5.2418	2.5948	1.1631
154	2065	5.1993	2.6017	1.1695	5.1899	2.6113	1.1725
155	2065	5.1501	2.6150	1.1778	5.1560	2.6250	1.1765
156	2065	5.1019	2.6275	1.1861	5.1098	2.6343	1.1816
157	2065	5.0535	2.6389	1.1945	5.0606	2.6328	1.1944
158	2065	5.0042	2.6494	1.2031	4.9784	2.6500	1.2019
159	2065	4.9561	2.6600	1.2118	4.9143	2.6603	1.2062
160	2065	4.9074	2.6697	1.2205	4.8875	2.6744	1.2155
161	2065	4.8596	2.6790	1.2295	4.8562	2.6898	1.2238
162	2065	4.8130	2.6893	1.2383	4.8018	2.7161	1.2322
163	2065	4.7664	2.6987	1.2473	4.7691	2.7109	1.2414
164	2065	4.7209	2.7082	1.2565	4.6997	2.7132	1.2481
165	2065	4.6750	2.7175	1.2660	4.6682	2.7233	1.2573
166	2065	4.6303	2.7269	1.2756	4.6298	2.7138	1.2700
167	2065	4.5871	2.7360	1.2851	4.5548	2.7512	1.2845
168	2065	4.5435	2.7447	1.2949	4.5194	2.7558	1.2893
