metric	column	sample_index_in_column	value
mRNA fraction (% of mapped)	DRUG-seq	10	51.7928
mRNA fraction (% of mapped)	DRUG-seq	11	52.5277
mRNA fraction (% of mapped)	DRUG-seq	12	55.3387
mRNA fraction (% of mapped)	DRUG-seq	13	51.6203
mRNA fraction (% of mapped)	DRUG-seq	14	51.3122
mRNA fraction (% of mapped)	DRUG-seq	15	54.9992
mRNA fraction (% of mapped)	DRUG-seq	16	52.2713
mRNA fraction (% of mapped)	DRUG-seq	17	51.3924
mRNA fraction (% of mapped)	DRUG-seq	18	54.3337
mRNA fraction (% of mapped)	DRUG-seq	19	52.228
mRNA fraction (% of mapped)	DRUG-seq	20	50.515
mRNA fraction (% of mapped)	DRUG-seq	21	53.827
mRNA fraction (% of mapped)	DRUG-seq	22	52.3756
mRNA fraction (% of mapped)	DRUG-seq	23	52.5736
mRNA fraction (% of mapped)	DRUG-seq	24	53.2328
mRNA fraction (% of mapped)	prime-seq	1	42.718
mRNA fraction (% of mapped)	prime-seq	2	39.4681
mRNA fraction (% of mapped)	prime-seq	3	43.9903
mRNA fraction (% of mapped)	prime-seq	4	41.5132
mRNA fraction (% of mapped)	prime-seq	5	39.2758
mRNA fraction (% of mapped)	prime-seq	6	40.083
mRNA fraction (% of mapped)	prime-seq	7	46.5846
mRNA fraction (% of mapped)	prime-seq	8	40.2247
mRNA fraction (% of mapped)	Hek control	1	60.7
mRNA fraction (% of mapped)	Hek control	2	64.19
mRNA fraction (% of mapped)	Hek control	3	61.84
mRNA fraction (% of mapped)	CADM1 1nM	1	63.76
mRNA fraction (% of mapped)	CADM1 1nM	2	64.23
mRNA fraction (% of mapped)	CADM1 1nM	3	62.71
mRNA fraction (% of mapped)	CADM1 100nM	1	66.22
mRNA fraction (% of mapped)	CADM1 100nM	2	66.16
mRNA fraction (% of mapped)	CADM1 100nM	3	64.97
mRNA fraction (% of mapped)	CHX dose 1ug mL	1	57.64
mRNA fraction (% of mapped)	CHX dose 1ug mL	2	65.23
mRNA fraction (% of mapped)	CHX dose 1ug mL	3	64.84
mRNA fraction (% of mapped)	CHX dose 50ug mL	1	58.87
mRNA fraction (% of mapped)	CHX dose 50ug mL	2	60.15
mRNA fraction (% of mapped)	CHX dose 50ug mL	3	63.45
mRNA fraction (% of mapped)	Ris dose 25mM	1	62.48
mRNA fraction (% of mapped)	Ris dose 25mM	2	50.33
mRNA fraction (% of mapped)	Ris dose 25mM	3	60.12
mRNA fraction (% of mapped)	Ris dose 500mM	1	31.69
mRNA fraction (% of mapped)	Ris dose 500mM	2	30.47
mRNA fraction (% of mapped)	Ris dose 500mM	3	25.31
mRNA fraction (% of mapped)	RAW 264.7	1	58.03
mRNA fraction (% of mapped)	RAW 264.7	2	60.23
mRNA fraction (% of mapped)	RAW 264.7	3	67.06
intronic reads (% of mapped)	DRUG-seq	1	6.66323
intronic reads (% of mapped)	DRUG-seq	2	6.20502
intronic reads (% of mapped)	DRUG-seq	3	6.8206
intronic reads (% of mapped)	DRUG-seq	4	6.05627
intronic reads (% of mapped)	DRUG-seq	5	6.02235
intronic reads (% of mapped)	DRUG-seq	6	6.5468
intronic reads (% of mapped)	DRUG-seq	7	6.6814
intronic reads (% of mapped)	DRUG-seq	8	6.64788
intronic reads (% of mapped)	DRUG-seq	9	6.88908
intronic reads (% of mapped)	DRUG-seq	10	6.19399
intronic reads (% of mapped)	DRUG-seq	11	6.41778
intronic reads (% of mapped)	DRUG-seq	12	7.21028
intronic reads (% of mapped)	DRUG-seq	13	6.10886
intronic reads (% of mapped)	DRUG-seq	14	5.87461
intronic reads (% of mapped)	DRUG-seq	15	6.95285
intronic reads (% of mapped)	DRUG-seq	16	6.13858
intronic reads (% of mapped)	DRUG-seq	17	6.19151
intronic reads (% of mapped)	DRUG-seq	18	6.56983
intronic reads (% of mapped)	DRUG-seq	19	6.17097
intronic reads (% of mapped)	DRUG-seq	20	6.08855
intronic reads (% of mapped)	DRUG-seq	21	6.82525
intronic reads (% of mapped)	DRUG-seq	22	5.87494
intronic reads (% of mapped)	DRUG-seq	23	5.71707
intronic reads (% of mapped)	DRUG-seq	24	6.43144
intronic reads (% of mapped)	prime-seq	1	19.6678
intronic reads (% of mapped)	prime-seq	2	24.2251
intronic reads (% of mapped)	prime-seq	3	22.2865
intronic reads (% of mapped)	prime-seq	4	21.57
intronic reads (% of mapped)	prime-seq	5	23.3612
intronic reads (% of mapped)	prime-seq	6	21.4337
intronic reads (% of mapped)	prime-seq	7	21.9648
intronic reads (% of mapped)	prime-seq	8	23.2367
intronic reads (% of mapped)	Hek control	1	4.1
intronic reads (% of mapped)	Hek control	2	4.34
intronic reads (% of mapped)	Hek control	3	3.82
intronic reads (% of mapped)	CADM1 1nM	1	7.14
intronic reads (% of mapped)	CADM1 1nM	2	7.47
intronic reads (% of mapped)	CADM1 1nM	3	7.01
intronic reads (% of mapped)	CADM1 100nM	1	7.39
intronic reads (% of mapped)	CADM1 100nM	2	6.27
intronic reads (% of mapped)	CADM1 100nM	3	6.1
intronic reads (% of mapped)	CHX dose 1ug mL	1	5.54
intronic reads (% of mapped)	CHX dose 1ug mL	2	6.47
intronic reads (% of mapped)	CHX dose 1ug mL	3	6.76
intronic reads (% of mapped)	CHX dose 50ug mL	1	8.84
intronic reads (% of mapped)	CHX dose 50ug mL	2	8.88
intronic reads (% of mapped)	CHX dose 50ug mL	3	6.53
intronic reads (% of mapped)	Ris dose 25mM	1	5.62
intronic reads (% of mapped)	Ris dose 25mM	2	5.27
intronic reads (% of mapped)	Ris dose 25mM	3	6.14
intronic reads (% of mapped)	Ris dose 500mM	1	12.04
intronic reads (% of mapped)	Ris dose 500mM	2	15.71
intronic reads (% of mapped)	Ris dose 500mM	3	14.31
intronic reads (% of mapped)	RAW 264.7	1	1.59
intronic reads (% of mapped)	RAW 264.7	2	1.55
intronic reads (% of mapped)	RAW 264.7	3	1.56
mitochondrial reads (% of mapped)	DRUG-seq	1	2.27788
mitochondrial reads (% of mapped)	DRUG-seq	2	2.79984
mitochondrial reads (% of mapped)	DRUG-seq	3	2.57294
mitochondrial reads (% of mapped)	DRUG-seq	4	2.2094
mitochondrial reads (% of mapped)	DRUG-seq	5	2.58597
mitochondrial reads (% of mapped)	DRUG-seq	6	2.0137
mitochondrial reads (% of mapped)	DRUG-seq	7	2.4773
mitochondrial reads (% of mapped)	DRUG-seq	8	2.86996
mitochondrial reads (% of mapped)	DRUG-seq	9	2.1882
mitochondrial reads (% of mapped)	DRUG-seq	10	2.44055
mitochondrial reads (% of mapped)	DRUG-seq	11	2.60764
mitochondrial reads (% of mapped)	DRUG-seq	12	2.59057
mitochondrial reads (% of mapped)	DRUG-seq	13	2.25817
mitochondrial reads (% of mapped)	DRUG-seq	14	2.73777
mitochondrial reads (% of mapped)	DRUG-seq	15	2.16211
mitochondrial reads (% of mapped)	DRUG-seq	16	2.16404
mitochondrial reads (% of mapped)	DRUG-seq	17	2.45696
mitochondrial reads (% of mapped)	DRUG-seq	18	2.45584
mitochondrial reads (% of mapped)	DRUG-seq	19	2.52279
mitochondrial reads (% of mapped)	DRUG-seq	20	3.4173
mitochondrial reads (% of mapped)	DRUG-seq	21	2.57626
mitochondrial reads (% of mapped)	DRUG-seq	22	2.53034
mitochondrial reads (% of mapped)	DRUG-seq	23	3.04332
mitochondrial reads (% of mapped)	DRUG-seq	24	2.4679
mitochondrial reads (% of mapped)	prime-seq	1	12.9374
mitochondrial reads (% of mapped)	prime-seq	2	13.3227
mitochondrial reads (% of mapped)	prime-seq	3	11.1066
mitochondrial reads (% of mapped)	prime-seq	4	13.2045
mitochondrial reads (% of mapped)	prime-seq	5	13.2512
mitochondrial reads (% of mapped)	prime-seq	6	12.6708
mitochondrial reads (% of mapped)	prime-seq	7	7.9474
mitochondrial reads (% of mapped)	prime-seq	8	12.6271
mitochondrial reads (% of mapped)	Hek control	1	0.26
mitochondrial reads (% of mapped)	Hek control	2	0.25
mitochondrial reads (% of mapped)	Hek control	3	0.2
mitochondrial reads (% of mapped)	CADM1 1nM	1	0.4
mitochondrial reads (% of mapped)	CADM1 1nM	2	0.38
mitochondrial reads (% of mapped)	CADM1 1nM	3	0.35
mitochondrial reads (% of mapped)	CADM1 100nM	1	0.39
mitochondrial reads (% of mapped)	CADM1 100nM	2	0.36
mitochondrial reads (% of mapped)	CADM1 100nM	3	0.33
mitochondrial reads (% of mapped)	CHX dose 1ug mL	1	0.28
mitochondrial reads (% of mapped)	CHX dose 1ug mL	2	0.41
mitochondrial reads (% of mapped)	CHX dose 1ug mL	3	0.4
mitochondrial reads (% of mapped)	CHX dose 50ug mL	1	0.36
mitochondrial reads (% of mapped)	CHX dose 50ug mL	2	0.4
mitochondrial reads (% of mapped)	CHX dose 50ug mL	3	0.27
mitochondrial reads (% of mapped)	Ris dose 25mM	1	0.29
mitochondrial reads (% of mapped)	Ris dose 25mM	2	0.27
mitochondrial reads (% of mapped)	Ris dose 25mM	3	0.36
mitochondrial reads (% of mapped)	Ris dose 500mM	1	0.79
mitochondrial reads (% of mapped)	Ris dose 500mM	2	0.88
mitochondrial reads (% of mapped)	Ris dose 500mM	3	0.77
mitochondrial reads (% of mapped)	RAW 264.7	1	0.05
mitochondrial reads (% of mapped)	RAW 264.7	2	0.04
mitochondrial reads (% of mapped)	RAW 264.7	3	0.02
insert length median (nt)	Hek control	1	191
insert length median (nt)	Hek control	2	190
insert length median (nt)	Hek control	3	185
insert length median (nt)	CADM1 1nM	1	190
insert length median (nt)	CADM1 1nM	2	191
insert length median (nt)	CADM1 1nM	3	192
insert length median (nt)	CADM1 100nM	1	192
insert length median (nt)	CADM1 100nM	2	194
insert length median (nt)	CADM1 100nM	3	194
insert length median (nt)	CHX dose 1ug mL	1	186
insert length median (nt)	CHX dose 1ug mL	2	188
insert length median (nt)	CHX dose 1ug mL	3	189
insert length median (nt)	CHX dose 50ug mL	1	183
insert length median (nt)	CHX dose 50ug mL	2	185
insert length median (nt)	CHX dose 50ug mL	3	185
insert length median (nt)	Ris dose 25mM	1	185
insert length median (nt)	Ris dose 25mM	2	178
insert length median (nt)	Ris dose 25mM	3	184
insert length median (nt)	Ris dose 500mM	1	167
insert length median (nt)	Ris dose 500mM	2	164
insert length median (nt)	Ris dose 500mM	3	160
insert length median (nt)	RAW 264.7	1	213
insert length median (nt)	RAW 264.7	2	217
insert length median (nt)	RAW 264.7	3	219
aligned bases (Gb, log)	DRUG-seq	1	0.0263909
aligned bases (Gb, log)	DRUG-seq	2	0.031809
aligned bases (Gb, log)	DRUG-seq	3	0.00862064
aligned bases (Gb, log)	DRUG-seq	4	0.0283008
aligned bases (Gb, log)	DRUG-seq	5	0.0264942
aligned bases (Gb, log)	DRUG-seq	6	0.0124073
aligned bases (Gb, log)	DRUG-seq	7	0.0249677
aligned bases (Gb, log)	DRUG-seq	8	0.0235151
aligned bases (Gb, log)	DRUG-seq	9	0.0162329
aligned bases (Gb, log)	DRUG-seq	10	0.0288175
aligned bases (Gb, log)	DRUG-seq	11	0.0256554
aligned bases (Gb, log)	DRUG-seq	12	0.01376
aligned bases (Gb, log)	DRUG-seq	13	0.0275747
aligned bases (Gb, log)	DRUG-seq	14	0.0310474
aligned bases (Gb, log)	DRUG-seq	15	0.0175903
aligned bases (Gb, log)	DRUG-seq	16	0.0246574
aligned bases (Gb, log)	DRUG-seq	17	0.0251514
aligned bases (Gb, log)	DRUG-seq	18	0.0170442
aligned bases (Gb, log)	DRUG-seq	19	0.029415
aligned bases (Gb, log)	DRUG-seq	20	0.032099
aligned bases (Gb, log)	DRUG-seq	21	0.0182504
aligned bases (Gb, log)	DRUG-seq	22	0.0316289
aligned bases (Gb, log)	DRUG-seq	23	0.0299899
aligned bases (Gb, log)	DRUG-seq	24	0.0182663
aligned bases (Gb, log)	prime-seq	1	0.0217543
aligned bases (Gb, log)	prime-seq	2	0.032875
aligned bases (Gb, log)	prime-seq	3	0.0349269
aligned bases (Gb, log)	prime-seq	4	0.0276966
aligned bases (Gb, log)	prime-seq	5	0.0321745
aligned bases (Gb, log)	prime-seq	6	0.0468837
aligned bases (Gb, log)	prime-seq	7	0.0273331
aligned bases (Gb, log)	prime-seq	8	0.0375668
aligned bases (Gb, log)	Hek control	1	1.17195
aligned bases (Gb, log)	Hek control	2	1.65299
aligned bases (Gb, log)	Hek control	3	1.63963
aligned bases (Gb, log)	CADM1 1nM	1	1.44634
aligned bases (Gb, log)	CADM1 1nM	2	1.36256
aligned bases (Gb, log)	CADM1 1nM	3	1.21868
aligned bases (Gb, log)	CADM1 100nM	1	1.38503
aligned bases (Gb, log)	CADM1 100nM	2	1.3123
aligned bases (Gb, log)	CADM1 100nM	3	1.37319
aligned bases (Gb, log)	CHX dose 1ug mL	1	0.840185
aligned bases (Gb, log)	CHX dose 1ug mL	2	1.12233
aligned bases (Gb, log)	CHX dose 1ug mL	3	0.926855
aligned bases (Gb, log)	CHX dose 50ug mL	1	0.843812
aligned bases (Gb, log)	CHX dose 50ug mL	2	0.936741
aligned bases (Gb, log)	CHX dose 50ug mL	3	1.03249
aligned bases (Gb, log)	Ris dose 25mM	1	1.34061
aligned bases (Gb, log)	Ris dose 25mM	2	0.960237
aligned bases (Gb, log)	Ris dose 25mM	3	1.42894
aligned bases (Gb, log)	Ris dose 500mM	1	0.0916532
aligned bases (Gb, log)	Ris dose 500mM	2	0.117841
aligned bases (Gb, log)	Ris dose 500mM	3	0.06723
aligned bases (Gb, log)	RAW 264.7	1	1.05632
aligned bases (Gb, log)	RAW 264.7	2	1.48162
aligned bases (Gb, log)	RAW 264.7	3	1.77003
5'-3' balance (2 x centroid)	DRUG-seq	1	1.637
5'-3' balance (2 x centroid)	DRUG-seq	2	1.63097
5'-3' balance (2 x centroid)	DRUG-seq	3	1.66241
5'-3' balance (2 x centroid)	DRUG-seq	4	1.63716
5'-3' balance (2 x centroid)	DRUG-seq	5	1.63113
5'-3' balance (2 x centroid)	DRUG-seq	6	1.66761
5'-3' balance (2 x centroid)	DRUG-seq	7	1.63917
5'-3' balance (2 x centroid)	DRUG-seq	8	1.63906
5'-3' balance (2 x centroid)	DRUG-seq	9	1.65229
5'-3' balance (2 x centroid)	DRUG-seq	10	1.63812
5'-3' balance (2 x centroid)	DRUG-seq	11	1.63951
5'-3' balance (2 x centroid)	DRUG-seq	12	1.6455
5'-3' balance (2 x centroid)	DRUG-seq	13	1.63658
5'-3' balance (2 x centroid)	DRUG-seq	14	1.63231
5'-3' balance (2 x centroid)	DRUG-seq	15	1.65005
5'-3' balance (2 x centroid)	DRUG-seq	16	1.64711
5'-3' balance (2 x centroid)	DRUG-seq	17	1.63411
5'-3' balance (2 x centroid)	DRUG-seq	18	1.64618
5'-3' balance (2 x centroid)	DRUG-seq	19	1.638
5'-3' balance (2 x centroid)	DRUG-seq	20	1.63521
5'-3' balance (2 x centroid)	DRUG-seq	21	1.65095
5'-3' balance (2 x centroid)	DRUG-seq	22	1.63988
5'-3' balance (2 x centroid)	DRUG-seq	23	1.6339
5'-3' balance (2 x centroid)	DRUG-seq	24	1.65397
5'-3' balance (2 x centroid)	prime-seq	1	1.22254
5'-3' balance (2 x centroid)	prime-seq	2	1.2132
5'-3' balance (2 x centroid)	prime-seq	3	1.21824
5'-3' balance (2 x centroid)	prime-seq	4	1.25684
5'-3' balance (2 x centroid)	prime-seq	5	1.21352
5'-3' balance (2 x centroid)	prime-seq	6	1.2001
5'-3' balance (2 x centroid)	prime-seq	7	1.2852
5'-3' balance (2 x centroid)	prime-seq	8	1.20996
5'-3' balance (2 x centroid)	Hek control	1	1.068
5'-3' balance (2 x centroid)	Hek control	2	1.065
5'-3' balance (2 x centroid)	Hek control	3	1.077
5'-3' balance (2 x centroid)	CADM1 1nM	1	1.078
5'-3' balance (2 x centroid)	CADM1 1nM	2	1.077
5'-3' balance (2 x centroid)	CADM1 1nM	3	1.066
5'-3' balance (2 x centroid)	CADM1 100nM	1	1.061
5'-3' balance (2 x centroid)	CADM1 100nM	2	1.059
5'-3' balance (2 x centroid)	CADM1 100nM	3	1.05
5'-3' balance (2 x centroid)	CHX dose 1ug mL	1	1.074
5'-3' balance (2 x centroid)	CHX dose 1ug mL	2	1.103
5'-3' balance (2 x centroid)	CHX dose 1ug mL	3	1.09
5'-3' balance (2 x centroid)	CHX dose 50ug mL	1	1.152
5'-3' balance (2 x centroid)	CHX dose 50ug mL	2	1.153
5'-3' balance (2 x centroid)	CHX dose 50ug mL	3	1.139
5'-3' balance (2 x centroid)	Ris dose 25mM	1	1.089
5'-3' balance (2 x centroid)	Ris dose 25mM	2	1.118
5'-3' balance (2 x centroid)	Ris dose 25mM	3	1.087
5'-3' balance (2 x centroid)	Ris dose 500mM	1	1.126
5'-3' balance (2 x centroid)	Ris dose 500mM	2	1.103
5'-3' balance (2 x centroid)	Ris dose 500mM	3	1.132
5'-3' balance (2 x centroid)	RAW 264.7	1	1.046
5'-3' balance (2 x centroid)	RAW 264.7	2	1.015
5'-3' balance (2 x centroid)	RAW 264.7	3	1.026
