metric	column	sample_index_in_column	value
mapping rate (% of reads)	Ris dose 25mM	2	92.1537
mapping rate (% of reads)	Ris dose 25mM	3	93.1357
mapping rate (% of reads)	Ris dose 500mM	1	90.9775
mapping rate (% of reads)	Ris dose 500mM	2	90.401
mapping rate (% of reads)	Ris dose 500mM	3	89.8441
mapping rate (% of reads)	RAW 264.7	1	94.6596
mapping rate (% of reads)	RAW 264.7	2	95.1787
mapping rate (% of reads)	RAW 264.7	3	95.852
uniquely mapped (% of reads)	DRUG-seq	1	70.1805
uniquely mapped (% of reads)	DRUG-seq	2	69.4054
uniquely mapped (% of reads)	DRUG-seq	3	70.4366
uniquely mapped (% of reads)	DRUG-seq	4	70.3612
uniquely mapped (% of reads)	DRUG-seq	5	69.6432
uniquely mapped (% of reads)	DRUG-seq	6	70.2092
uniquely mapped (% of reads)	DRUG-seq	7	70.4583
uniquely mapped (% of reads)	DRUG-seq	8	69.6515
uniquely mapped (% of reads)	DRUG-seq	9	70.3785
uniquely mapped (% of reads)	DRUG-seq	10	70.3452
uniquely mapped (% of reads)	DRUG-seq	11	70.0513
uniquely mapped (% of reads)	DRUG-seq	12	70.8608
uniquely mapped (% of reads)	DRUG-seq	13	70.4426
uniquely mapped (% of reads)	DRUG-seq	14	70.167
uniquely mapped (% of reads)	DRUG-seq	15	71.4413
uniquely mapped (% of reads)	DRUG-seq	16	70.6122
uniquely mapped (% of reads)	DRUG-seq	17	69.2062
uniquely mapped (% of reads)	DRUG-seq	18	70.6117
uniquely mapped (% of reads)	DRUG-seq	19	70.4858
uniquely mapped (% of reads)	DRUG-seq	20	70.4791
uniquely mapped (% of reads)	DRUG-seq	21	70.954
uniquely mapped (% of reads)	DRUG-seq	22	70.4714
uniquely mapped (% of reads)	DRUG-seq	23	70.4774
uniquely mapped (% of reads)	DRUG-seq	24	70.4949
uniquely mapped (% of reads)	prime-seq	1	67.219
uniquely mapped (% of reads)	prime-seq	2	67.9181
uniquely mapped (% of reads)	prime-seq	3	70.3784
uniquely mapped (% of reads)	prime-seq	4	67.7053
uniquely mapped (% of reads)	prime-seq	5	66.8023
uniquely mapped (% of reads)	prime-seq	6	66.5412
uniquely mapped (% of reads)	prime-seq	7	69.1179
uniquely mapped (% of reads)	prime-seq	8	67.7499
uniquely mapped (% of reads)	Hek control	1	70.4126
uniquely mapped (% of reads)	Hek control	2	74.5556
uniquely mapped (% of reads)	Hek control	3	70.5751
uniquely mapped (% of reads)	CADM1 1nM	1	76.2394
uniquely mapped (% of reads)	CADM1 1nM	2	77.5045
uniquely mapped (% of reads)	CADM1 1nM	3	74.6833
uniquely mapped (% of reads)	CADM1 100nM	1	79.4402
uniquely mapped (% of reads)	CADM1 100nM	2	78.7434
uniquely mapped (% of reads)	CADM1 100nM	3	77.2961
uniquely mapped (% of reads)	CHX dose 1ug mL	1	64.8742
uniquely mapped (% of reads)	CHX dose 1ug mL	2	75.0073
uniquely mapped (% of reads)	CHX dose 1ug mL	3	74.8701
uniquely mapped (% of reads)	CHX dose 50ug mL	1	68.2089
uniquely mapped (% of reads)	CHX dose 50ug mL	2	69.7496
uniquely mapped (% of reads)	CHX dose 50ug mL	3	71.6813
uniquely mapped (% of reads)	Ris dose 25mM	1	72.9781
uniquely mapped (% of reads)	Ris dose 25mM	2	58.8743
uniquely mapped (% of reads)	Ris dose 25mM	3	70.3401
uniquely mapped (% of reads)	Ris dose 500mM	1	43.6031
uniquely mapped (% of reads)	Ris dose 500mM	2	46.0331
uniquely mapped (% of reads)	Ris dose 500mM	3	39.7263
uniquely mapped (% of reads)	RAW 264.7	1	72.2662
uniquely mapped (% of reads)	RAW 264.7	2	73.6638
uniquely mapped (% of reads)	RAW 264.7	3	82.2213
filtered reads (% of reads)	DRUG-seq	1	55.105
filtered reads (% of reads)	DRUG-seq	2	54.7711
filtered reads (% of reads)	DRUG-seq	3	55.1542
filtered reads (% of reads)	DRUG-seq	4	55.9587
filtered reads (% of reads)	DRUG-seq	5	54.9822
filtered reads (% of reads)	DRUG-seq	6	55.3912
filtered reads (% of reads)	DRUG-seq	7	55.2744
filtered reads (% of reads)	DRUG-seq	8	54.2276
filtered reads (% of reads)	DRUG-seq	9	55.1786
filtered reads (% of reads)	DRUG-seq	10	55.8246
filtered reads (% of reads)	DRUG-seq	11	55.3277
filtered reads (% of reads)	DRUG-seq	12	55.0494
filtered reads (% of reads)	DRUG-seq	13	55.9291
filtered reads (% of reads)	DRUG-seq	14	55.6447
filtered reads (% of reads)	DRUG-seq	15	55.7358
filtered reads (% of reads)	DRUG-seq	16	56.0176
filtered reads (% of reads)	DRUG-seq	17	54.811
filtered reads (% of reads)	DRUG-seq	18	55.3514
filtered reads (% of reads)	DRUG-seq	19	55.7499
filtered reads (% of reads)	DRUG-seq	20	55.2656
filtered reads (% of reads)	DRUG-seq	21	55.357
filtered reads (% of reads)	DRUG-seq	22	55.82
filtered reads (% of reads)	DRUG-seq	23	55.3672
filtered reads (% of reads)	DRUG-seq	24	55.5632
filtered reads (% of reads)	prime-seq	1	37.0352
filtered reads (% of reads)	prime-seq	2	33.8475
filtered reads (% of reads)	prime-seq	3	38.3428
filtered reads (% of reads)	prime-seq	4	35.7916
filtered reads (% of reads)	prime-seq	5	33.8712
filtered reads (% of reads)	prime-seq	6	35.3295
filtered reads (% of reads)	prime-seq	7	39.9882
filtered reads (% of reads)	prime-seq	8	34.8449
filtered reads (% of reads)	Hek control	1	58.3732
filtered reads (% of reads)	Hek control	2	62.0698
filtered reads (% of reads)	Hek control	3	58.945
filtered reads (% of reads)	CADM1 1nM	1	60.9691
filtered reads (% of reads)	CADM1 1nM	2	61.8324
filtered reads (% of reads)	CADM1 1nM	3	59.7228
filtered reads (% of reads)	CADM1 100nM	1	63.4913
filtered reads (% of reads)	CADM1 100nM	2	63.9089
filtered reads (% of reads)	CADM1 100nM	3	62.7919
filtered reads (% of reads)	CHX dose 1ug mL	1	52.2441
filtered reads (% of reads)	CHX dose 1ug mL	2	60.3659
filtered reads (% of reads)	CHX dose 1ug mL	3	60.0078
filtered reads (% of reads)	CHX dose 50ug mL	1	52.2497
filtered reads (% of reads)	CHX dose 50ug mL	2	53.498
filtered reads (% of reads)	CHX dose 50ug mL	3	57.299
filtered reads (% of reads)	Ris dose 25mM	1	59.3391
filtered reads (% of reads)	Ris dose 25mM	2	47.2388
filtered reads (% of reads)	Ris dose 25mM	3	56.6316
filtered reads (% of reads)	Ris dose 500mM	1	27.7286
filtered reads (% of reads)	Ris dose 500mM	2	26.7875
filtered reads (% of reads)	Ris dose 500mM	3	22.5738
filtered reads (% of reads)	RAW 264.7	1	60.7136
filtered reads (% of reads)	RAW 264.7	2	62.1874
filtered reads (% of reads)	RAW 264.7	3	71.3345
filtered reads after de-duplication (UMI, log)	DRUG-seq	1	178921
filtered reads after de-duplication (UMI, log)	DRUG-seq	2	208743
filtered reads after de-duplication (UMI, log)	DRUG-seq	3	61335
filtered reads after de-duplication (UMI, log)	DRUG-seq	4	181826
filtered reads after de-duplication (UMI, log)	DRUG-seq	5	171718
filtered reads after de-duplication (UMI, log)	DRUG-seq	6	86414
filtered reads after de-duplication (UMI, log)	DRUG-seq	7	163024
filtered reads after de-duplication (UMI, log)	DRUG-seq	8	155419
filtered reads after de-duplication (UMI, log)	DRUG-seq	9	116454
filtered reads after de-duplication (UMI, log)	DRUG-seq	10	187421
filtered reads after de-duplication (UMI, log)	DRUG-seq	11	170730
filtered reads after de-duplication (UMI, log)	DRUG-seq	12	94623
filtered reads after de-duplication (UMI, log)	DRUG-seq	13	182544
filtered reads after de-duplication (UMI, log)	DRUG-seq	14	199853
filtered reads after de-duplication (UMI, log)	DRUG-seq	15	125671
filtered reads after de-duplication (UMI, log)	DRUG-seq	16	160532
filtered reads after de-duplication (UMI, log)	DRUG-seq	17	168745
filtered reads after de-duplication (UMI, log)	DRUG-seq	18	113792
filtered reads after de-duplication (UMI, log)	DRUG-seq	19	193245
filtered reads after de-duplication (UMI, log)	DRUG-seq	20	198688
filtered reads after de-duplication (UMI, log)	DRUG-seq	21	123766
filtered reads after de-duplication (UMI, log)	DRUG-seq	22	212349
filtered reads after de-duplication (UMI, log)	DRUG-seq	23	200581
filtered reads after de-duplication (UMI, log)	DRUG-seq	24	128888
filtered reads after de-duplication (UMI, log)	prime-seq	1	325220
filtered reads after de-duplication (UMI, log)	prime-seq	2	490168
filtered reads after de-duplication (UMI, log)	prime-seq	3	521204
filtered reads after de-duplication (UMI, log)	prime-seq	4	412908
filtered reads after de-duplication (UMI, log)	prime-seq	5	481617
filtered reads after de-duplication (UMI, log)	prime-seq	6	705385
filtered reads after de-duplication (UMI, log)	prime-seq	7	458223
filtered reads after de-duplication (UMI, log)	prime-seq	8	568316
filtered reads after de-duplication (UMI, log)	Hek control	1	1.18016e+06
filtered reads after de-duplication (UMI, log)	Hek control	2	1.6199e+06
filtered reads after de-duplication (UMI, log)	Hek control	3	1.65672e+06
filtered reads after de-duplication (UMI, log)	CADM1 1nM	1	1.5498e+06
filtered reads after de-duplication (UMI, log)	CADM1 1nM	2	1.45263e+06
filtered reads after de-duplication (UMI, log)	CADM1 1nM	3	1.2962e+06
filtered reads after de-duplication (UMI, log)	CADM1 100nM	1	1.45587e+06
filtered reads after de-duplication (UMI, log)	CADM1 100nM	2	1.3798e+06
filtered reads after de-duplication (UMI, log)	CADM1 100nM	3	1.43746e+06
filtered reads after de-duplication (UMI, log)	CHX dose 1ug mL	1	923037
filtered reads after de-duplication (UMI, log)	CHX dose 1ug mL	2	1.22929e+06
filtered reads after de-duplication (UMI, log)	CHX dose 1ug mL	3	1.01617e+06
filtered reads after de-duplication (UMI, log)	CHX dose 50ug mL	1	945194
filtered reads after de-duplication (UMI, log)	CHX dose 50ug mL	2	1.04014e+06
filtered reads after de-duplication (UMI, log)	CHX dose 50ug mL	3	1.13947e+06
filtered reads after de-duplication (UMI, log)	Ris dose 25mM	1	1.36637e+06
filtered reads after de-duplication (UMI, log)	Ris dose 25mM	2	998420
filtered reads after de-duplication (UMI, log)	Ris dose 25mM	3	1.48212e+06
filtered reads after de-duplication (UMI, log)	Ris dose 500mM	1	109514
filtered reads after de-duplication (UMI, log)	Ris dose 500mM	2	140104
filtered reads after de-duplication (UMI, log)	Ris dose 500mM	3	81476
filtered reads after de-duplication (UMI, log)	RAW 264.7	1	1.17638e+06
filtered reads after de-duplication (UMI, log)	RAW 264.7	2	1.63848e+06
filtered reads after de-duplication (UMI, log)	RAW 264.7	3	1.71834e+06
duplicate rate (%) at 250k filtered reads	DRUG-seq	1	47.27
duplicate rate (%) at 250k filtered reads	DRUG-seq	2	44.38
duplicate rate (%) at 250k filtered reads	DRUG-seq	3	
duplicate rate (%) at 250k filtered reads	DRUG-seq	4	47.9
duplicate rate (%) at 250k filtered reads	DRUG-seq	5	48.8
duplicate rate (%) at 250k filtered reads	DRUG-seq	6	
duplicate rate (%) at 250k filtered reads	DRUG-seq	7	50.12
duplicate rate (%) at 250k filtered reads	DRUG-seq	8	50.86
duplicate rate (%) at 250k filtered reads	DRUG-seq	9	56.14
duplicate rate (%) at 250k filtered reads	DRUG-seq	10	47.04
duplicate rate (%) at 250k filtered reads	DRUG-seq	11	48.74
duplicate rate (%) at 250k filtered reads	DRUG-seq	12	
duplicate rate (%) at 250k filtered reads	DRUG-seq	13	47.37
duplicate rate (%) at 250k filtered reads	DRUG-seq	14	45.74
duplicate rate (%) at 250k filtered reads	DRUG-seq	15	54.43
duplicate rate (%) at 250k filtered reads	DRUG-seq	16	50.61
duplicate rate (%) at 250k filtered reads	DRUG-seq	17	48.89
duplicate rate (%) at 250k filtered reads	DRUG-seq	18	57.92
duplicate rate (%) at 250k filtered reads	DRUG-seq	19	46.12
duplicate rate (%) at 250k filtered reads	DRUG-seq	20	46.3
duplicate rate (%) at 250k filtered reads	DRUG-seq	21	55.7
duplicate rate (%) at 250k filtered reads	DRUG-seq	22	43.26
duplicate rate (%) at 250k filtered reads	DRUG-seq	23	44.7
duplicate rate (%) at 250k filtered reads	DRUG-seq	24	54.16
duplicate rate (%) at 250k filtered reads	prime-seq	1	8.84
duplicate rate (%) at 250k filtered reads	prime-seq	2	6.5
duplicate rate (%) at 250k filtered reads	prime-seq	3	6.98
duplicate rate (%) at 250k filtered reads	prime-seq	4	6.75
duplicate rate (%) at 250k filtered reads	prime-seq	5	5.89
duplicate rate (%) at 250k filtered reads	prime-seq	6	4.47
duplicate rate (%) at 250k filtered reads	prime-seq	7	3.62
duplicate rate (%) at 250k filtered reads	prime-seq	8	5.19
duplicate rate (%) at 250k filtered reads	Hek control	1	13.8124
duplicate rate (%) at 250k filtered reads	Hek control	2	12.7872
duplicate rate (%) at 250k filtered reads	Hek control	3	11.5428
duplicate rate (%) at 250k filtered reads	CADM1 1nM	1	8.874
