method	n_samples	reads_in	mapped	unique	filtered	reads_in_M
DRUG-seq	24	100.0	90.15482488118958	70.27676336357337	55.387037771522955	18.009573
prime-seq	8	100.0	90.24077296801356	67.85227716733611	35.89924689779291	12.533093
BOBseq	18	100.0	93.23423507042602	72.75259081143597	58.66631330454018	138.12082
